Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (782)",,,"Reconstruction Position - Unlabeled Track (787)",,,"Reconstruction Position - Unlabeled Track (788)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (790)",,,"Reconstruction Position - Unlabeled Track (794)",,,"Reconstruction Position - Unlabeled Track (795)",,
11,0,"-1103.64","-505.752","1440.29","-992.747","-559.147","1676.42","-996.576","-909.781","1501.27","-890.262","-891.325","1189.97","-1005.01","-375.715","1168.73","-964.96","-716.795","1320.3","-821.008","-228.522","1075.94","-741.657","-705.345","1067.15","-992.709","-657.474","603.779","-1011.6","-657.589","189.762","-1021.32","-903.813","535.419","-1297.85","-1023.83","255.293","-1071.99","-925.423","1060.16","nan","nan","nan"
12,0,"-1107.15","-508.477","1439.99","-996.904","-562.595","1676.46","-1001.4","-913.181","1500.66","-894.916","-895.74","1189.06","-1007.76","-379.608","1168.21","-968.57","-719.704","1320.23","-824.152","-233.122","1073.78","-744.895","-710.314","1067.14","-993.686","-658.602","603.947","-1011.77","-657.784","189.761","-1025.04","-905.922","534.367","-1302.3","-1024.6","254.712","-1074.97","-927.486","1059.34","nan","nan","nan"
13,0,"-1110.67","-511.287","1439.55","-1001.1","-566.027","1676.39","-1006.26","-916.666","1499.89","-899.668","-900.312","1188.16","-1010.61","-383.633","1167.59","-972.323","-722.61","1320.02","-827.495","-237.859","1071.33","-748.373","-715.349","1066.88","-994.682","-659.791","604.11","-1011.9","-658.002","189.739","-1028.8","-908.157","533.393","-1307.02","-1025.36","254.249","-1077.99","-929.609","1058.51","nan","nan","nan"
14,0,"-1114.27","-514.088","1439.15","-1005.47","-569.551","1676.35","-1011.35","-920.259","1499.2","-904.555","-905.053","1187.26","-1013.49","-387.74","1166.82","-976.183","-725.632","1319.83","-831.045","-242.768","1068.6","-751.917","-720.65","1066.51","-995.67","-660.989","604.213","-1012.05","-658.279","189.808","-1032.67","-910.429","532.325","-1311.87","-1026.03","253.46","-1081.13","-931.707","1057.55","nan","nan","nan"
15,0,"-1117.93","-516.992","1438.61","-1009.74","-573.066","1676.11","-1016.51","-923.957","1498.44","-909.6","-909.925","1186.37","-1016.52","-391.9","1166.11","-980.237","-728.626","1319.51","-834.755","-247.8","1065.63","-755.619","-726.24","1066.14","-996.739","-662.229","604.419","-1012.24","-658.474","189.746","-1036.87","-912.813","531.41","-1316.8","-1026.64","252.748","-1084.32","-933.908","1056.59","nan","nan","nan"
16,0,"-1121.64","-519.963","1438.02","-1014.09","-576.597","1675.81","-1021.86","-927.741","1497.69","-914.795","-914.962","1185.46","-1019.6","-396.148","1165.26","-984.404","-731.802","1319.19","-838.661","-252.956","1062.49","-759.482","-732.033","1065.66","-997.789","-663.558","604.522","-1012.41","-658.667","189.73","-1041.18","-915.235","530.29","-1321.69","-1027.25","251.555","-1087.58","-936.236","1055.62","nan","nan","nan"
17,0,"-1125.24","-523.293","1436.99","-1018.54","-580.213","1675.44","-1027.35","-931.605","1496.93","-920.16","-920.055","1184.5","-1022.77","-400.477","1164.34","-988.708","-735.136","1318.84","-842.728","-258.241","1059.11","-763.451","-737.939","1064.99","-998.891","-664.909","604.637","-1012.62","-658.911","189.748","-1045.67","-917.76","529.139","-1326.96","-1027.72","250.607","-1090.94","-938.552","1054.6","nan","nan","nan"
18,0,"-1129.03","-526.366","1436.23","-1023.12","-583.776","1675.07","-1032.96","-935.542","1496.14","-925.682","-925.288","1183.56","-1026.05","-404.879","1163.42","-993.156","-738.546","1318.38","-846.994","-263.652","1055.52","-767.545","-744.092","1064.37","-1000.12","-666.295","604.77","-1012.82","-659.146","189.737","-1050.32","-920.385","528.068","-1332.21","-1028.28","249.47","-1094.37","-940.985","1053.57","nan","nan","nan"
19,0,"-1132.87","-529.503","1435.42","-1027.65","-587.438","1674.5","-1038.51","-939.41","1495.09","-931.365","-930.577","1182.55","-1029.4","-409.365","1162.41","-997.704","-742.066","1317.9","-852.065","-268.686","1052.62","-771.716","-750.435","1063.6","-1001.38","-667.747","604.839","-1013.09","-659.376","189.707","-1055.39","-922.967","526.775","-1337.96","-1028.51","248.222","-1097.86","-943.451","1052.5","nan","nan","nan"
20,0,"-1136.8","-532.678","1434.62","-1032.33","-591.126","1673.93","-1044.35","-943.429","1494.29","-937.206","-935.998","1181.59","-1032.89","-413.935","1161.37","-1002.41","-745.669","1317.29","-856.531","-274.502","1048.58","-776.007","-756.958","1062.76","-1002.75","-669.287","604.962","-1013.36","-659.705","189.682","-1060.81","-925.5","525.37","-1343.57","-1028.96","246.827","-1101.46","-946","1051.39","nan","nan","nan"
21,0,"-1140.72","-535.905","1433.72","-1036.98","-594.877","1673.23","-1050.33","-947.5","1493.5","-943.096","-941.563","1180.61","-1036.4","-418.587","1160.24","-1007.22","-749.453","1316.68","-861.237","-280.388","1044.42","-780.422","-763.68","1061.96","-1004.24","-670.834","605.004","-1013.67","-660.026","189.756","-1066.1","-928.412","524.254","-1349.52","-1029.17","245.12","-1105.18","-948.105","1050.04","nan","nan","nan"
22,0,"-1144.6","-539.229","1432.71","-1041.67","-598.596","1672.45","-1056.43","-951.611","1492.72","-949.096","-947.191","1179.66","-1040.05","-423.318","1159.07","-1012.14","-753.35","1316.01","-866.265","-286.381","1040.26","-784.973","-770.472","1061.09","-1005.84","-672.504","605.074","-1013.94","-660.379","189.788","-1071.95","-931.249","523.058","-1355.76","-1029.23","243.456","-1108.89","-950.856","1048.92","nan","nan","nan"
23,0,"-1148.62","-542.57","1431.81","-1045.99","-602.056","1671.75","-1062.57","-955.709","1491.86","-955.134","-953.005","1178.68","-1043.75","-428.18","1157.79","-1017.2","-757.366","1315.31","-871.449","-292.46","1035.92","-789.649","-777.293","1060.1","-1007.6","-674.23","605.082","-1014.2","-660.763","189.82","-1077.75","-934.262","521.708","-1361.93","-1029.38","241.428","-1112.66","-953.629","1047.75","nan","nan","nan"
24,0,"-1152.8","-545.822","1431.07","-1050.68","-605.759","1670.82","-1068.82","-959.86","1491.02","-961.257","-958.906","1177.73","-1047.51","-433.131","1156.44","-1022.41","-761.385","1314.53","-876.856","-298.714","1031.53","-794.474","-784.291","1059.16","-1009.52","-676.033","605.046","-1014.57","-661.085","189.773","-1084.02","-937.282","520.54","-1368.16","-1029.49","239.223","-1116.51","-956.499","1046.56","nan","nan","nan"
25,0,"-1156.88","-549.314","1430.02","-1055.39","-609.578","1669.85","-1075.17","-964.044","1490.17","-967.435","-964.926","1176.78","-1051.39","-438.171","1155.13","-1027.73","-765.511","1313.73","-882.419","-305.113","1026.97","-799.406","-791.374","1058.18","-1011.7","-677.885","604.985","-1015.08","-661.38","189.704","-1090.69","-940.281","519.178","-1374.47","-1029.7","236.781","-1120.45","-959.434","1045.38","nan","nan","nan"
26,0,"-1161.05","-552.847","1428.92","-1060.4","-613.705","1669.12","-1081.56","-968.269","1489.3","-973.713","-971.032","1175.78","-1055.32","-443.294","1153.75","-1033.09","-769.807","1312.98","-888.137","-311.636","1022.33","-804.456","-798.56","1057.18","-1014.03","-679.858","604.857","-1015.61","-661.59","189.67","-1097.42","-943.567","518.063","-1380.9","-1029.68","234.091","-1124.43","-962.441","1044.17","nan","nan","nan"
27,0,"-1165.3","-556.45","1427.81","-1065.2","-617.546","1668.04","-1088.04","-972.521","1488.43","-980.082","-977.319","1174.79","-1059.29","-448.577","1152.22","-1038.6","-774.053","1312.09","-894.069","-318.324","1017.68","-809.629","-805.873","1056.22","-1016.31","-682.231","605.007","-1016.26","-661.588","189.661","-1104.77","-946.896","517.099","-1387.36","-1029.57","231.337","-1128.5","-965.512","1042.94","nan","nan","nan"
28,0,"-1169.63","-560.076","1426.67","-1070.01","-621.432","1666.96","-1094.59","-976.833","1487.6","-986.524","-983.744","1173.83","-1063.37","-453.959","1150.7","-1044.1","-778.483","1311.33","-900.097","-325.178","1012.9","-814.943","-813.232","1055.23","-1018.86","-684.441","604.74","-1016.97","-661.731","189.607","-1112.21","-950.15","515.851","-1394.15","-1029.26","228.683","-1132.68","-968.725","1041.76","nan","nan","nan"
29,0,"-1173.98","-563.776","1425.45","-1074.52","-625.076","1665.53","-1101.12","-981.177","1486.69","-993.031","-990.261","1172.82","-1067.57","-459.445","1149.22","-1049.61","-782.903","1310.48","-906.323","-332.165","1008.18","-820.407","-820.659","1054.27","-1021.62","-686.718","604.434","-1018.05","-662.509","188.788","-1119.9","-953.474","514.503","-1400.79","-1028.92","225.642","-1136.93","-972.077","1040.58","nan","nan","nan"
30,0,"-1178.46","-567.443","1424.21","-1079.36","-628.957","1664.35","-1107.7","-985.555","1485.85","-999.595","-996.904","1171.86","-1071.78","-465.058","1147.67","-1055.1","-787.377","1309.66","-912.599","-339.309","1003.36","-825.975","-828.171","1053.26","-1024.52","-689.161","604.19","-1018.88","-662.814","188.669","-1127.86","-956.828","513.262","-1407.64","-1028.41","222.659","-1141.33","-975.524","1039.39","nan","nan","nan"
31,0,"-1183.02","-571.166","1423","-1084.17","-632.927","1663.17","-1114.32","-989.948","1485.02","-1006.19","-1003.69","1170.96","-1076.06","-470.724","1146.05","-1060.6","-791.891","1308.76","-918.997","-346.559","998.57","-831.651","-835.811","1052.36","-1027.57","-691.671","603.918","-1019.74","-663.17","188.727","-1136.11","-960.11","512.031","-1414.36","-1027.91","219.428","-1145.8","-979.144","1038.2","nan","nan","nan"
32,0,"-1187.61","-574.921","1421.67","-1088.98","-636.844","1662","-1120.92","-994.393","1484.26","-1012.81","-1010.48","1170.12","-1080.43","-476.49","1144.4","-1066.14","-796.366","1307.87","-925.519","-353.874","993.93","-837.436","-843.524","1051.43","-1030.75","-694.281","603.683","-1020.65","-663.596","188.798","-1144.38","-963.288","510.9","-1421","-1027.46","216.158","-1150.4","-982.786","1036.91","nan","nan","nan"
33,0,"-1192.23","-578.689","1420.33","-1093.75","-640.721","1660.85","-1127.5","-998.853","1483.55","-1019.4","-1017.42","1169.4","-1084.78","-482.331","1142.56","-1071.66","-800.925","1306.99","-932.035","-361.285","989.271","-843.351","-851.191","1050.38","-1034.02","-697.062","603.512","-1021.58","-664.057","188.973","-1152.78","-966.25","509.853","-1427.55","-1027.02","213.163","-1155.11","-986.616","1035.66","nan","nan","nan"
34,0,"-1196.89","-582.459","1419.01","-1098.52","-644.591","1659.73","-1134.08","-1003.3","1482.95","-1026.01","-1024.3","1168.74","-1089.24","-488.245","1140.88","-1077.2","-805.443","1306.11","-938.563","-368.802","984.567","-849.264","-859.001","1049.37","-1037.46","-699.86","603.348","-1022.5","-664.542","189.162","-1161.17","-968.88","508.918","-1433.78","-1026.68","210.349","-1159.93","-990.459","1034.34","nan","nan","nan"
35,0,"-1201.48","-586.298","1417.63","-1103.27","-648.421","1658.69","-1140.57","-1007.71","1482.37","-1032.63","-1031.28","1168.23","-1093.72","-494.27","1139.01","-1082.74","-810.064","1305.34","-945.267","-376.339","980.047","-855.259","-866.894","1048.42","-1041.01","-702.8","603.168","-1023.54","-664.983","189.399","-1169.45","-971.23","507.982","-1439.18","-1026.87","207.344","-1164.91","-994.455","1033.13","nan","nan","nan"
36,0,"-1206.05","-590.156","1416.29","-1107.97","-652.254","1657.67","-1147.03","-1012.06","1481.91","-1039.31","-1038.21","1167.82","-1098.35","-500.286","1137.37","-1088.27","-814.775","1304.67","-951.969","-383.976","975.508","-861.354","-874.794","1047.4","-1044.72","-705.793","603.025","-1024.62","-665.492","189.734","-1177.57","-973.412","507.45","-1444.69","-1026.95","204.768","-1169.99","-998.471","1031.98","nan","nan","nan"
37,0,"-1210.58","-594.024","1415.05","-1112.66","-656.077","1656.74","-1153.47","-1016.41","1481.62","-1046.03","-1045.16","1167.51","-1103.01","-506.304","1135.47","-1093.8","-819.407","1303.98","-958.785","-391.681","971.038","-867.497","-882.803","1046.43","-1048.6","-708.837","602.831","-1025.82","-666.037","190.126","-1185.55","-975.327","506.889","-1449.84","-1027.14","202.237","-1175.18","-1002.58","1031","nan","nan","nan"
38,0,"-1214.93","-597.898","1413.78","-1117.32","-659.844","1655.84","-1159.94","-1020.84","1481.6","-1052.84","-1052","1167.29","-1108.21","-512.266","1134.81","-1099.23","-824.203","1303.45","-965.693","-399.471","966.654","-873.683","-890.871","1045.53","-1052.72","-711.844","602.634","-1027.06","-666.582","190.439","-1193.36","-977.062","506.502","-1454.71","-1027.59","199.846","-1180.45","-1006.7","1030.21","nan","nan","nan"
39,0,"-1219.29","-601.747","1412.71","-1121.86","-663.548","1654.92","-1166.29","-1025.05","1481.54","-1059.66","-1058.93","1167.25","-1112.99","-518.365","1133.13","-1104.56","-828.939","1302.95","-972.662","-407.31","962.293","-879.93","-899.007","1044.67","-1056.95","-714.949","602.473","-1028.47","-667.245","190.971","-1201.08","-978.628","506.079","-1459.29","-1028.21","197.474","-1185.73","-1010.79","1029.59","nan","nan","nan"
40,0,"-1223.55","-605.589","1411.67","-1126.43","-667.327","1654.07","-1172.63","-1029.16","1481.59","-1066.55","-1065.79","1167.29","-1117.78","-524.499","1131.41","-1109.74","-833.749","1302.52","-979.702","-415.155","958.003","-886.177","-907.173","1043.88","-1061.25","-717.999","602.157","-1029.99","-667.852","191.503","-1208.58","-980.286","505.689","-1463.68","-1028.96","195.174","-1191","-1014.87","1029.13","nan","nan","nan"
41,0,"-1227.67","-609.422","1410.65","-1130.9","-671.125","1653.24","-1178.94","-1033.27","1481.75","-1073.47","-1072.65","1167.43","-1122.56","-530.602","1129.74","-1114.73","-838.48","1302.07","-986.82","-423.073","953.691","-892.429","-915.386","1043.19","-1065.84","-720.952","601.938","-1031.65","-668.442","192.14","-1215.94","-982.052","505.298","-1467.76","-1029.78","192.986","-1196.24","-1018.9","1028.76","nan","nan","nan"
42,0,"-1231.71","-613.274","1409.63","-1135.36","-674.887","1652.48","-1185.21","-1037.33","1482","-1080.35","-1079.58","1167.68","-1127.41","-536.672","1128.11","-1119.56","-843.266","1301.75","-994.048","-431.016","949.43","-898.717","-923.56","1042.58","-1070.59","-723.775","601.758","-1033.28","-669.129","192.593","-1223.12","-983.973","504.929","-1471.69","-1030.64","190.919","-1201.45","-1022.89","1028.43","nan","nan","nan"
43,0,"-1235.67","-617.07","1408.65","-1139.7","-678.554","1651.74","-1191.43","-1041.32","1482.27","-1087.22","-1086.43","1168","-1132.22","-542.734","1126.43","-1124.3","-848.001","1301.44","-1001.23","-438.953","945.125","-904.993","-931.652","1041.97","-1075.49","-726.426","601.654","-1035.3","-669.816","193.38","-1229.88","-986.211","504.551","-1475.22","-1031.43","188.738","-1206.52","-1026.73","1028.07","nan","nan","nan"
44,0,"-1239.61","-620.791","1407.75","-1144.01","-682.163","1651.09","-1197.58","-1045.29","1482.55","-1094.06","-1093.24","1168.38","-1136.96","-548.754","1124.69","-1128.94","-852.727","1301.24","-1008.52","-446.844","940.884","-911.204","-939.852","1041.51","-1080.54","-728.888","601.651","-1037.34","-670.623","194.211","-1236.55","-988.598","504.487","-1478.62","-1032.16","186.9","-1211.5","-1030.52","1027.71","nan","nan","nan"
45,0,"-1243.39","-624.48","1406.82","-1148.29","-685.715","1650.62","-1203.68","-1049.27","1482.89","-1100.81","-1100.03","1168.9","-1141.73","-554.767","1122.93","-1133.53","-857.33","1301.07","-1015.78","-454.718","936.639","-917.453","-947.851","1041","-1085.59","-731.205","601.638","-1039.55","-671.356","195.129","-1242.92","-991.094","504.505","-1481.65","-1032.83","185.011","-1216.34","-1034.15","1027.31","nan","nan","nan"
46,0,"-1247.03","-628.103","1405.91","-1152.52","-689.231","1650.29","-1209.69","-1053.17","1483.26","-1107.48","-1106.76","1169.47","-1146.44","-560.77","1121.15","-1138.08","-861.979","1301.06","-1023.03","-462.592","932.5","-923.6","-955.943","1040.61","-1090.66","-733.522","601.688","-1041.71","-672.062","195.968","-1249","-993.616","504.668","-1484.55","-1033.41","183.537","-1221.1","-1037.7","1026.98","nan","nan","nan"
47,0,"-1250.6","-631.607","1405.07","-1156.72","-692.602","1650.09","-1215.6","-1057.04","1483.62","-1114.13","-1113.31","1170.09","-1151.2","-566.7","1119.37","-1142.6","-866.402","1301","-1030.17","-470.423","928.399","-929.722","-963.902","1040.22","-1095.55","-736.01","601.804","-1044.1","-672.662","197.055","-1254.7","-995.892","504.824","-1487.13","-1033.92","181.973","-1225.74","-1041.12","1026.75","nan","nan","nan"
48,0,"-1254.03","-635.058","1404.31","-1160.84","-695.972","1650","-1221.37","-1060.8","1484.05","-1120.69","-1119.75","1170.8","-1155.96","-572.574","1117.66","-1147.06","-870.79","1301.07","-1037.33","-478.185","924.495","-935.81","-971.873","1039.93","-1100.88","-738.087","601.882","-1046.55","-673.321","198.145","-1260.37","-998.082","505.172","-1489.66","-1034.45","180.773","-1230.28","-1044.42","1026.62","nan","nan","nan"
49,0,"-1257.31","-638.363","1403.63","-1164.9","-699.11","1650.06","-1227.11","-1064.43","1484.61","-1127.17","-1126.18","1171.6","-1160.72","-578.405","1116","-1151.41","-875.067","1301.14","-1044.38","-485.896","920.643","-941.883","-979.701","1039.61","-1106.24","-740.164","602.005","-1049.17","-673.967","199.304","-1265.83","-1000.21","505.72","-1491.98","-1035.06","179.582","-1234.74","-1047.66","1026.65","nan","nan","nan"
50,0,"-1260.37","-641.632","1403.02","-1168.88","-702.261","1650.24","-1232.64","-1067.96","1485.19","-1133.66","-1132.32","1172.46","-1165.36","-584.21","1114.27","-1155.63","-879.36","1301.39","-1051.5","-493.572","917.041","-947.868","-987.607","1039.41","-1111.65","-742.255","602.186","-1051.86","-674.644","200.493","-1271.19","-1002.07","506.145","-1494.27","-1035.72","178.54","-1239.05","-1051.06","1026.92","nan","nan","nan"
51,0,"-1263.32","-644.77","1402.51","-1172.81","-705.261","1650.56","-1238.07","-1071.32","1485.87","-1140.06","-1138.46","1173.46","-1170.15","-589.87","1112.73","-1159.75","-883.423","1301.57","-1058.42","-501.32","913.277","-953.88","-995.293","1039.14","-1117.34","-744.038","602.332","-1054.69","-675.319","201.76","-1276.42","-1003.9","506.659","-1496.64","-1036.55","177.813","-1243.48","-1054.18","1027.34","nan","nan","nan"
52,0,"-1266.17","-647.769","1402.17","-1176.64","-708.142","1650.94","-1243.37","-1074.48","1486.66","-1146.43","-1144.43","1174.54","-1174.86","-595.476","1111.26","-1163.68","-887.451","1301.87","-1065.38","-508.995","909.744","-959.818","-1003.03","1039.04","-1122.71","-746.218","602.527","-1057.54","-676.114","203.076","-1281.42","-1005.6","507.171","-1498.77","-1037.51","177.09","-1247.84","-1057.2","1027.73","nan","nan","nan"
53,0,"-1268.83","-650.75","1401.84","-1180.4","-710.944","1651.44","-1248.52","-1077.53","1487.5","-1152.71","-1150.27","1175.69","-1179.44","-601.048","1109.72","-1167.47","-891.396","1302.22","-1072.35","-516.549","906.371","-965.735","-1010.58","1038.83","-1128.03","-748.441","602.806","-1060.38","-676.886","204.404","-1285.98","-1007.3","507.765","-1500.74","-1038.46","176.503","-1252.2","-1060.22","1028.16","nan","nan","nan"
54,0,"-1271.28","-653.628","1401.56","-1184.08","-713.735","1652.13","-1253.59","-1080.42","1488.44","-1158.88","-1156.05","1177","-1183.99","-606.439","1108.33","-1171.16","-895.129","1302.59","-1079.3","-524.042","903.042","-971.589","-1018.08","1038.72","-1133.3","-750.658","603.077","-1063.29","-677.809","205.803","-1290.09","-1009.02","508.564","-1502.51","-1039.31","176.131","-1256.53","-1063.1","1028.56","nan","nan","nan"
55,0,"-1273.59","-656.379","1401.33","-1187.67","-716.404","1652.96","-1258.5","-1083.19","1489.43","-1165","-1161.52","1178.34","-1188.45","-611.767","1107","-1174.73","-898.79","1303.09","-1086.17","-531.512","899.593","-977.44","-1025.47","1038.58","-1138.33","-753.039","603.484","-1066.12","-678.778","207.153","-1293.59","-1010.84","509.542","-1503.82","-1040.05","175.954","-1260.78","-1065.92","1029.1","nan","nan","nan"
56,0,"-1275.76","-658.982","1401.24","-1191.18","-718.919","1653.93","-1263.26","-1085.88","1490.51","-1171.04","-1166.87","1179.81","-1192.85","-617.001","1105.78","-1178.24","-902.349","1303.78","-1093.14","-538.812","896.415","-983.066","-1032.94","1038.43","-1143.63","-754.495","603.278","-1069.08","-679.768","208.602","-1296.64","-1012.79","510.72","-1504.84","-1040.78","175.983","-1264.94","-1068.65","1029.67","nan","nan","nan"
57,0,"-1277.71","-661.462","1401.29","-1194.6","-721.269","1655.05","-1267.86","-1088.43","1491.64","-1177.06","-1171.94","1181.29","-1197.18","-622.187","1104.59","-1181.66","-905.77","1304.58","-1100","-546.175","893.271","-988.637","-1040.32","1038.27","-1148.22","-756.949","603.856","-1072.08","-680.701","210.1","-1299.26","-1014.79","512.035","-1505.58","-1041.53","176.206","-1269.03","-1071.5","1030.43","nan","nan","nan"
58,0,"-1279.5","-663.799","1401.52","-1197.94","-723.6","1656.34","-1272.35","-1090.84","1492.88","-1183.05","-1176.81","1182.84","-1201.4","-627.29","1103.53","-1185","-909.035","1305.49","-1106.95","-553.383","890.494","-994.246","-1047.58","1038.31","-1153.14","-758.969","604.674","-1075.15","-681.686","211.62","-1301.53","-1016.93","513.433","-1505.95","-1042.25","176.38","-1273.02","-1073.77","1031.53","nan","nan","nan"
59,0,"-1281.06","-666.006","1401.9","-1201.44","-728.424","1658.47","-1276.67","-1093.12","1494.2","-1189","-1181.47","1184.48","-1205.67","-632.234","1102.76","-1188.25","-912.117","1306.45","-1113.74","-560.497","887.903","-999.85","-1054.66","1038.25","-1157.91","-760.832","605.535","-1078.18","-682.699","213.162","-1303.45","-1019.18","514.778","-1506.41","-1043.06","176.881","-1276.84","-1075.98","1032.66","nan","nan","nan"
60,0,"-1282.42","-668.143","1402.44","-1204.54","-730.584","1660.04","-1280.85","-1095.24","1495.6","-1194.85","-1185.92","1186.25","-1209.76","-637.126","1102.07","-1191.39","-914.979","1307.5","-1120.42","-567.5","885.498","-1005.62","-1061.6","1038.1","-1162.46","-762.387","606.222","-1081.25","-683.66","214.721","-1305.19","-1021.55","516.174","-1506.67","-1044.02","177.194","-1280.48","-1077.98","1033.91","nan","nan","nan"
