Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (782)",,,"Reconstruction Position - Unlabeled Track (787)",,,"Reconstruction Position - Unlabeled Track (788)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (790)",,,"Reconstruction Position - Unlabeled Track (794)",,,"Reconstruction Position - Unlabeled Track (795)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1072.32","-480.532","1440.68","-956.3","-526.836","1673.59","-955.108","-880.034","1504.43","-853.555","-857.908","1193.06","-984.228","-344.243","1168.38","-934.341","-691.736","1317.8","-800.494","-194.312","1078.02","-717.092","-670.604","1060.27","-983.403","-649.334","602.366","-1010.1","-656.2","189.285","-993.547","-886.297","542.461","-1260.81","-1016.59","255.677","-1046.14","-908.605","1066.74","nan","nan","nan"
2,0,"-1075.13","-482.941","1440.83","-959.545","-529.898","1674.09","-958.792","-882.748","1504.35","-856.27","-860.376","1193.34","-985.826","-346.738","1168.89","-937.426","-694.216","1318.21","-801.717","-196.661","1079.73","-718.892","-672.781","1061.74","-984.263","-649.849","602.519","-1010.23","-656.268","189.359","-995.749","-887.682","541.937","-1263.64","-1017.29","255.918","-1048.39","-909.948","1066.1","nan","nan","nan"
3,0,"-1077.97","-485.342","1440.89","-962.915","-533.046","1674.56","-962.597","-885.506","1504.3","-859.196","-863.008","1193.48","-987.552","-349.401","1169.34","-940.561","-696.592","1318.53","-803.183","-199.228","1081.04","-720.853","-675.267","1063","-985.132","-650.419","602.618","-1010.34","-656.35","189.409","-997.892","-889.214","541.317","-1266.98","-1017.77","256.138","-1050.69","-911.437","1065.51","nan","nan","nan"
4,0,"-1080.97","-487.756","1441.05","-966.355","-536.189","1675","-966.483","-888.286","1504.15","-862.323","-865.872","1193.51","-989.368","-352.227","1169.65","-943.651","-698.971","1318.79","-804.761","-202.078","1081.86","-722.974","-678.034","1064.08","-986.016","-651.1","602.796","-1010.48","-656.459","189.445","-1000.18","-890.837","540.755","-1270.32","-1018.44","256.316","-1053.05","-912.945","1064.89","nan","nan","nan"
5,0,"-1084.02","-490.262","1441.07","-969.93","-539.371","1675.43","-970.461","-891.154","1503.98","-865.722","-868.952","1193.39","-991.289","-355.185","1169.88","-945.256","-701.108","1319.86","-806.544","-205.187","1082.24","-725.285","-681.144","1065.01","-986.929","-651.821","602.89","-1010.64","-656.564","189.534","-1002.63","-892.425","540.044","-1273.77","-1019.16","256.314","-1055.54","-914.501","1064.23","nan","nan","nan"
6,0,"-1087.1","-492.796","1441","-973.567","-542.588","1675.79","-974.541","-894.106","1503.71","-869.316","-872.209","1193.13","-993.274","-358.282","1169.93","-948.296","-703.554","1320.12","-808.485","-208.556","1082.15","-727.648","-684.525","1065.7","-987.889","-652.6","603.032","-1010.78","-656.726","189.58","-1005.46","-894.102","539.458","-1277.45","-1019.88","256.392","-1058.1","-916.161","1063.63","nan","nan","nan"
7,0,"-1090.31","-495.306","1441.01","-977.305","-545.831","1676.09","-978.753","-897.055","1503.39","-873.154","-875.63","1192.7","-995.384","-361.483","1169.97","-951.471","-706.042","1320.2","-810.607","-212.128","1081.67","-730.213","-688.171","1066.25","-988.836","-653.465","603.21","-1010.96","-656.866","189.611","-1008.31","-895.862","538.615","-1281.21","-1020.66","256.309","-1060.7","-917.929","1063.01","nan","nan","nan"
8,0,"-1093.56","-497.882","1440.88","-981.135","-549.143","1676.39","-983.012","-900.141","1502.97","-877.172","-879.281","1192.2","-997.591","-364.836","1169.82","-954.689","-708.672","1320.36","-812.823","-216.03","1080.69","-732.861","-692.076","1066.69","-989.795","-654.37","603.323","-1011.14","-657.035","189.658","-1011.3","-897.723","537.816","-1285.18","-1021.39","256.233","-1063.42","-919.7","1062.37","nan","nan","nan"
9,0,"-1096.83","-500.508","1440.69","-985.062","-552.454","1676.58","-987.456","-903.246","1502.49","-881.367","-883.104","1191.56","-999.967","-368.318","1169.59","-957.987","-711.299","1320.43","-815.164","-220.114","1079.17","-735.654","-696.277","1066.97","-990.779","-655.352","603.496","-1011.3","-657.221","189.698","-1014.54","-899.696","537.143","-1289.24","-1022.28","255.998","-1066.22","-921.524","1061.67","nan","nan","nan"
10,0,"-1100.22","-503.13","1440.51","-989.031","-555.832","1676.75","-991.962","-906.469","1501.92","-885.744","-887.146","1190.8","-1002.43","-371.961","1169.19","-961.422","-714.033","1320.38","-818.086","-224.128","1077.83","-738.567","-700.71","1067.14","-991.746","-656.405","603.659","-1011.46","-657.401","189.751","-1017.84","-901.747","536.34","-1293.47","-1022.98","255.78","-1069.07","-923.442","1060.95","nan","nan","nan"
