Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (732)",,,"Reconstruction Position - Unlabeled Track (749)",,,"Reconstruction Position - Unlabeled Track (751)",,,"Reconstruction Position - Unlabeled Track (762)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (778)",,,"Reconstruction Position - Unlabeled Track (779)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1102.32","-285.953","1318.18","-931.743","-299.444","1524.46","-1265.2","-777.008","528.335","-1032.79","-692.532","1459.35","-1476.07","-831.098","199.536","-1091.98","-503.513","602.256","-1090.55","-477.433","187.084","-1063.45","-869.655","928.138","-1134.03","-840.361","1182.53","-1118.17","-305.008","992.108","-1032.03","-547.219","1231.02","-985.879","-280.224","778.681","-1204.7","-763.245","1034.18","nan","nan","nan"
2,0,"-1099.21","-282.216","1317.84","-929.02","-295.433","1523.37","-1261.52","-776.613","529.192","-1029.79","-688.48","1459.27","-1474.11","-831.476","201.241","-1091.04","-501.402","602.331","-1090.54","-476.902","187.047","-1061.53","-866.637","928.062","-1130.38","-836.941","1182.73","-1113.69","-302.996","992.854","-1028.88","-543.408","1230.81","-988.846","-280.927","775.183","-1203.21","-760.855","1035.54","nan","nan","nan"
3,0,"-1096.07","-278.564","1317.57","-926.463","-291.548","1522.36","-1257.78","-776.269","530.055","-1026.95","-684.563","1459.31","-1472.25","-831.687","203.143","-1090.07","-499.286","602.338","-1090.23","-476.095","187.305","-1059.55","-863.428","927.96","-1126.72","-833.532","1182.96","-1109.7","-301.176","993.606","-1026.01","-539.62","1230.65","-991.85","-281.783","772.189","-1201.81","-758.191","1036.74","nan","nan","nan"
4,0,"-1092.91","-275.09","1317.31","-923.987","-287.818","1521.43","-1254","-775.992","531.02","-1024.35","-680.82","1459.5","-1470.29","-831.804","204.898","-1089.16","-496.99","602.387","-1089.91","-475.354","187.38","-1057.46","-860.129","927.867","-1123.12","-830.06","1183.14","-1106.13","-299.505","994.288","-1023.3","-535.955","1230.56","-995.025","-282.716","769.755","-1200.5","-755.593","1037.9","nan","nan","nan"
5,0,"-1089.75","-271.867","1316.93","-921.695","-284.22","1520.66","-1250.21","-775.669","532.047","-1021.94","-677.199","1459.78","-1468.5","-831.732","206.876","-1088.18","-494.693","602.444","-1089.68","-474.584","187.403","-1055.22","-856.721","927.76","-1119.65","-826.517","1183.28","-1102.94","-297.94","994.894","-1020.73","-532.427","1230.56","-998.124","-283.787","767.583","-1199.28","-753.146","1039.09","nan","nan","nan"
6,0,"-1086.67","-268.911","1316.41","-919.562","-280.76","1519.91","-1246.31","-775.162","532.99","-1019.73","-673.735","1460.17","-1466.68","-831.463","208.741","-1087.25","-492.328","602.541","-1089.27","-473.607","187.648","-1052.86","-853.249","927.717","-1116.38","-822.872","1183.32","-1099.94","-296.459","995.305","-1018.24","-529.109","1230.73","-1001.44","-284.838","765.854","-1198.09","-751.063","1040.38","nan","nan","nan"
7,0,"-1083.65","-266.241","1315.71","-917.524","-277.439","1519.22","-1242.43","-774.604","533.966","-1017.71","-670.345","1460.61","-1464.97","-831.132","210.648","-1086.27","-489.871","602.684","-1089.15","-472.598","187.972","-1050.31","-849.664","927.695","-1113.32","-819.195","1183.32","-1097.22","-295.055","995.605","-1015.93","-525.959","1230.92","-1004.27","-285.648","764.064","-1196.9","-748.63","1041.4","nan","nan","nan"
8,0,"-1080.76","-263.834","1314.87","-915.685","-274.276","1518.72","-1238.44","-773.867","534.882","-1015.91","-667.112","1461.11","-1463.57","-830.583","212.778","-1085.31","-487.419","602.851","-1088.78","-471.574","188.22","-1047.64","-845.875","927.584","-1110.42","-815.434","1183.26","-1094.7","-293.753","995.824","-1013.78","-523.063","1231.21","-1006.92","-286.25","762.517","-1195.72","-746.599","1042.59","nan","nan","nan"
9,0,"-1077.96","-261.618","1313.96","-913.985","-271.26","1518.29","-1234.53","-772.9","535.759","-1014.27","-664.02","1461.72","-1462.36","-829.952","214.862","-1084.36","-484.954","603.079","-1088.16","-470.787","188.214","-1044.79","-842.033","927.538","-1107.63","-811.75","1183.22","-1092.33","-292.551","995.83","-1011.71","-520.449","1231.62","-1009.27","-286.588","761.079","-1194.51","-744.36","1043.6","nan","nan","nan"
10,0,"-1075.38","-259.556","1313.12","-912.411","-268.395","1518","-1230.33","-771.505","536.156","-1012.83","-661.023","1462.39","-1461.44","-829.229","217.287","-1083.42","-482.654","603.275","-1088.1","-469.926","188.446","-1041.8","-837.907","927.452","-1104.92","-808.077","1183.18","-1090.18","-291.417","995.741","-1009.8","-517.964","1232.05","-1011.33","-286.801","759.782","-1193.28","-742.287","1044.61","nan","nan","nan"
