Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (788)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (790)",,,"Reconstruction Position - Unlabeled Track (816)",,,"Reconstruction Position - Unlabeled Track (817)",,,"Reconstruction Position - Unlabeled Track (821)",,,"Reconstruction Position - Unlabeled Track (822)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1203.59","-354.888","1463.06","-1061.18","-422.312","1683.86","-1076.51","-763.554","1499.65","-976.635","-761.974","1187.06","-1118.6","-225.953","1176.02","-1057.99","-565.32","1329.43","-888.619","-128.703","1116.24","-1132.8","-552.028","186.972","-1110.01","-794.724","558.846","-1360.26","-928.142","260.874","-822.046","-587.413","1058.26","-1105.35","-539.305","598.395","-1176.52","-783.46","1070.46","nan","nan","nan"
2,0,"-1206.07","-356.945","1463.07","-1064.46","-424.191","1684.48","-1079.74","-765.908","1499.7","-979.436","-764.028","1187.18","-1121.22","-228.246","1175.83","-1060.63","-567.524","1329.77","-891.401","-130.861","1116.11","-1132.88","-552.093","186.959","-1111.45","-796.045","558.465","-1362.72","-928.769","260.793","-824.522","-589.317","1058.99","-1105.86","-539.906","598.533","-1178.36","-784.729","1070.05","nan","nan","nan"
3,0,"-1208.65","-358.995","1463.07","-1067.95","-427.427","1685.13","-1083","-768.282","1499.72","-982.328","-766.293","1187.25","-1123.93","-230.658","1175.61","-1063.3","-569.757","1330.1","-894.097","-133.362","1115.42","-1132.97","-552.163","187","-1113.03","-797.342","557.994","-1364.93","-929.304","260.694","-827.154","-591.43","1059.5","-1106.37","-540.555","598.64","-1180.22","-786.059","1069.66","nan","nan","nan"
4,0,"-1211.19","-361.111","1462.96","-1071.35","-430.016","1685.68","-1086.3","-770.695","1499.67","-985.336","-768.634","1187.21","-1126.73","-233.261","1175.16","-1065.98","-572.043","1330.37","-896.886","-136.129","1114.49","-1133.08","-552.218","187.075","-1114.76","-798.787","557.502","-1366.4","-930.03","260.547","-829.93","-593.774","1059.77","-1106.96","-541.272","598.764","-1182.1","-787.408","1069.2","nan","nan","nan"
5,0,"-1213.85","-363.239","1462.82","-1074.78","-432.647","1686.23","-1089.66","-773.13","1499.64","-988.474","-771.189","1187.11","-1129.41","-236.093","1174.4","-1068.65","-574.379","1330.61","-899.863","-138.903","1113.3","-1133.19","-552.272","187.115","-1116.69","-800.176","556.909","-1369.07","-930.552","260.575","-832.882","-596.339","1059.81","-1107.56","-541.958","598.871","-1184","-788.79","1068.67","nan","nan","nan"
6,0,"-1216.5","-365.414","1462.6","-1078.2","-435.292","1686.7","-1093","-775.654","1499.52","-991.725","-773.887","1186.95","-1132.41","-238.991","1173.84","-1071.32","-576.732","1330.77","-902.961","-141.807","1111.87","-1133.31","-552.295","187.074","-1118.5","-802.181","557.102","-1372.39","-931.179","260.363","-835.972","-599.093","1059.65","-1108.24","-542.711","598.982","-1185.94","-790.279","1068.2","nan","nan","nan"
7,0,"-1219.21","-367.605","1462.34","-1081.68","-437.945","1687.16","-1096.4","-778.165","1499.36","-995.091","-776.694","1186.7","-1135.33","-242.055","1172.98","-1074.04","-579.121","1330.97","-906.233","-144.863","1110.23","-1133.45","-552.311","187.034","-1120.56","-803.775","556.505","-1374.36","-931.947","260.157","-839.251","-602.04","1059.28","-1108.97","-543.454","599.041","-1187.91","-791.748","1067.6","nan","nan","nan"
8,0,"-1221.95","-369.817","1462.03","-1085.15","-440.598","1687.51","-1099.84","-780.767","1499.16","-998.545","-779.624","1186.35","-1138.28","-245.302","1171.98","-1076.72","-581.527","1331.1","-909.582","-148.039","1108.21","-1133.65","-552.32","187.051","-1122.84","-805.462","555.984","-1378.1","-932.556","260.024","-842.6","-605.276","1058.79","-1109.78","-544.161","599.128","-1189.86","-793.244","1066.96","nan","nan","nan"
9,0,"-1224.7","-372.095","1461.56","-1088.68","-443.259","1687.79","-1103.27","-783.362","1498.88","-1002.13","-782.773","1185.95","-1141.4","-248.584","1171.08","-1079.4","-583.911","1331.12","-913.016","-151.398","1105.9","-1133.85","-552.337","187.082","-1125.2","-807.167","555.397","-1380.2","-933.288","259.709","-846.113","-608.627","1058.03","-1110.63","-544.871","599.199","-1191.88","-794.848","1066.35","nan","nan","nan"
10,0,"-1227.48","-374.402","1461.14","-1092.22","-445.969","1688.1","-1106.77","-785.998","1498.59","-1005.82","-785.998","1185.49","-1144.45","-252.054","1169.9","-1082.18","-586.351","1331.18","-916.601","-154.876","1103.44","-1134.03","-552.376","187.135","-1127.69","-808.949","554.739","-1383.34","-934.048","259.246","-849.748","-612.253","1057.16","-1111.52","-545.599","599.304","-1193.94","-796.256","1065.58","nan","nan","nan"
