Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (649)",,,"Reconstruction Position - Unlabeled Track (661)",,,"Reconstruction Position - Unlabeled Track (663)",,,"Reconstruction Position - Unlabeled Track (673)",,,"Reconstruction Position - Unlabeled Track (674)",,,"Reconstruction Position - Unlabeled Track (675)",,,"Reconstruction Position - Unlabeled Track (676)",,,"Reconstruction Position - Unlabeled Track (677)",,,"Reconstruction Position - Unlabeled Track (679)",,,"Reconstruction Position - Unlabeled Track (681)",,,"Reconstruction Position - Unlabeled Track (683)",,,"Reconstruction Position - Unlabeled Track (685)",,,"Reconstruction Position - Unlabeled Track (687)",,,"Reconstruction Position - Unlabeled Track (688)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1074.85","-470.013","587.5","-973.755","-637.77","1508.21","-902.587","-658.358","950.866","-1105.95","-497.705","186.695","-1351.79","-865.279","261.121","-997.224","-428.064","1319.97","-1046.98","-246.884","1669.95","-1168.58","-250.486","1444.88","-938.78","-228.29","966.03","-1157.5","-259.674","1099.85","-1119.42","-727.962","563.547","-1005.35","-723.841","1190.72","-1047.82","-672.497","1064.66","nan","nan","nan"
2,0,"-1074.8","-469.997","587.442","-973.374","-637.836","1508.13","-902.064","-657.944","950.979","-1105.84","-497.819","186.758","-1351.46","-865.467","260.932","-996.893","-428.104","1320.05","-1047.01","-247.121","1670.2","-1168.36","-250.594","1444.84","-940.164","-229.818","965.112","-1158.48","-260.259","1099.85","-1119.1","-727.737","563.314","-1004.8","-724.083","1190.66","-1047.41","-672.431","1064.51","nan","nan","nan"
3,0,"-1074.77","-470.063","587.444","-973.027","-637.918","1508.1","-901.61","-657.535","951.056","-1105.69","-497.967","186.781","-1351.23","-865.446","261.02","-996.493","-428.165","1320.11","-1046.98","-247.347","1670.45","-1168.13","-250.676","1444.77","-941.796","-231.321","963.77","-1159.43","-260.936","1099.7","-1118.83","-727.589","563.168","-1004.24","-724.424","1190.64","-1047.01","-672.386","1064.36","nan","nan","nan"
4,0,"-1074.67","-470.167","587.408","-972.675","-638.022","1508.06","-901.163","-657.177","951.144","-1105.5","-498.137","186.778","-1351.27","-865.698","260.705","-996.076","-428.195","1320.09","-1046.89","-247.565","1670.7","-1167.82","-250.748","1444.58","-943.742","-232.86","962.177","-1160.45","-261.573","1099.59","-1118.58","-727.433","563.03","-1003.71","-724.787","1190.59","-1046.6","-672.229","1064.11","nan","nan","nan"
5,0,"-1074.51","-470.332","587.372","-972.299","-638.13","1508.03","-900.677","-656.797","951.233","-1105.32","-498.335","186.809","-1350.87","-865.27","261.026","-995.532","-428.221","1320.09","-1046.8","-247.757","1670.97","-1167.46","-250.796","1444.35","-945.959","-234.388","960.262","-1161.6","-262.158","1099.62","-1118.36","-727.335","562.897","-1003.17","-725.095","1190.51","-1046.17","-672.12","1063.89","nan","nan","nan"
6,0,"-1074.35","-470.532","587.405","-971.883","-638.192","1507.96","-900.129","-656.418","951.342","-1105.11","-498.523","186.843","-1351.56","-865.071","260.936","-995.048","-428.309","1320.1","-1046.7","-247.963","1671.23","-1167.03","-250.817","1444.07","-948.475","-235.902","958.089","-1162.8","-262.758","1099.64","-1118.14","-727.229","562.81","-1002.62","-725.507","1190.47","-1045.76","-672.022","1063.66","nan","nan","nan"
7,0,"-1074.13","-470.7","587.475","-971.502","-638.274","1507.96","-899.643","-656.09","951.492","-1104.87","-498.669","186.819","-1350.45","-865.265","260.863","-994.546","-428.397","1320.01","-1046.55","-248.121","1671.43","-1166.56","-250.845","1443.77","-951.24","-237.449","955.604","-1164.12","-263.224","1099.73","-1117.97","-727.074","562.672","-1002.04","-725.983","1190.47","-1045.32","-671.898","1063.47","nan","nan","nan"
8,0,"-1073.83","-470.879","587.552","-971.098","-638.289","1507.95","-899.063","-655.813","951.631","-1104.65","-498.847","186.748","-1351.31","-864.982","260.958","-994.02","-428.53","1319.99","-1046.39","-248.268","1671.64","-1166.01","-250.841","1443.44","-954.311","-238.953","952.875","-1165.36","-263.794","1099.64","-1117.81","-726.907","562.532","-1001.5","-726.473","1190.47","-1044.9","-671.758","1063.23","nan","nan","nan"
9,0,"-1073.54","-471.025","587.693","-970.611","-638.28","1507.88","-898.535","-655.575","951.759","-1104.48","-499.012","186.794","-1350.36","-865.454","260.39","-993.396","-428.612","1319.96","-1046.23","-248.393","1671.83","-1165.49","-250.821","1443.18","-957.594","-240.453","949.887","-1166.55","-264.413","1099.46","-1117.85","-726.678","562.409","-1000.92","-726.993","1190.52","-1044.47","-671.634","1063.03","nan","nan","nan"
10,0,"-1073.15","-471.117","587.791","-970.145","-638.273","1507.86","-897.823","-655.23","951.937","-1104.24","-499.126","186.787","-1350.4","-865.381","260.333","-992.913","-428.791","1319.85","-1046.01","-248.511","1671.99","-1164.92","-250.794","1442.85","-961.162","-241.934","946.648","-1167.73","-265.057","1099.24","-1117.65","-726.812","562.792","-1000.33","-727.523","1190.56","-1044.05","-671.53","1062.87","nan","nan","nan"
