Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (698)",,,"Reconstruction Position - Unlabeled Track (708)",,,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (711)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (731)",,,"Reconstruction Position - Unlabeled Track (732)",,,"Reconstruction Position - Unlabeled Track (734)",,,"Reconstruction Position - Unlabeled Track (735)",,,"Reconstruction Position - Unlabeled Track (736)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1092.91","-596.051","604.639","-932.454","-168.169","964.573","-1125.69","-386.401","1424.78","-1082.62","-288.937","1125.07","-949.328","-431.624","1624.15","-1121.9","-862.268","564.245","-1008.14","-613.055","1297.86","-1012.31","-792.341","1486.66","-863.34","-650.769","977.602","-1114.39","-598.688","191.633","-1372.81","-984.158","262.447","-978.211","-805.016","1159.49","-1152.41","-841.3","1078.08","nan","nan","nan"
2,0,"-1093.09","-596.583","604.74","-932.604","-168.298","967.986","-1128.35","-388.61","1426.1","-1084.31","-289.931","1126.85","-953.047","-434.834","1626.14","-1122.47","-863.011","564.007","-1010.09","-615.208","1299.01","-1015.92","-795.053","1487.39","-862.882","-650.588","980.605","-1114.36","-598.834","191.657","-1373.83","-984.565","262.444","-979.231","-806.271","1160.43","-1154.23","-842.554","1077.88","nan","nan","nan"
3,0,"-1093.34","-597.085","604.838","-933.502","-168.338","971.882","-1131.01","-390.919","1427.24","-1086.08","-291.09","1128.46","-956.815","-438.077","1628.09","-1123.22","-863.891","563.738","-1012.1","-617.398","1300.14","-1019.61","-797.883","1488.07","-862.608","-650.558","983.405","-1114.39","-598.951","191.708","-1375.08","-984.936","262.393","-980.431","-807.616","1161.35","-1156.07","-843.866","1077.64","nan","nan","nan"
4,0,"-1093.67","-597.612","604.908","-934.121","-168.813","974.773","-1133.87","-393.214","1428.48","-1087.94","-292.41","1130.06","-960.652","-441.338","1629.99","-1123.91","-864.945","563.455","-1012.82","-619.486","1301.77","-1023.45","-800.648","1488.65","-862.553","-650.914","986.265","-1114.41","-599.068","191.72","-1376.15","-985.584","262.244","-981.809","-809.115","1162.29","-1157.95","-845.174","1077.4","nan","nan","nan"
5,0,"-1094.04","-598.153","604.983","-935.311","-169.64","978.133","-1136.75","-395.596","1429.61","-1089.91","-293.89","1131.57","-964.584","-444.667","1631.84","-1124.75","-865.983","563.095","-1015.13","-621.846","1302.88","-1027.38","-803.562","1489.34","-862.746","-651.469","988.931","-1114.46","-599.208","191.729","-1377.46","-986.154","262.13","-983.376","-810.741","1163.2","-1159.82","-846.51","1077.08","nan","nan","nan"
6,0,"-1094.5","-598.748","605.03","-936.423","-170.773","980.888","-1139.65","-398.005","1430.69","-1091.89","-295.554","1132.98","-968.117","-447.856","1633.85","-1125.77","-867.111","562.64","-1017.68","-624.324","1303.95","-1031.39","-806.523","1489.87","-863.103","-652.374","991.59","-1114.55","-599.381","191.686","-1378.87","-986.773","262.105","-985.086","-812.858","1164.3","-1161.61","-848.126","1076.69","nan","nan","nan"
7,0,"-1095.03","-599.379","605.052","-937.695","-172.279","983.342","-1142.68","-400.474","1431.74","-1094.02","-297.403","1134.33","-972.204","-451.262","1635.69","-1126.96","-868.487","562.427","-1020.25","-626.908","1305.1","-1035.53","-809.461","1490.43","-863.772","-653.472","994.011","-1114.65","-599.517","191.646","-1380.61","-987.238","262.111","-987.01","-814.778","1165.2","-1163.59","-849.477","1076.32","nan","nan","nan"
8,0,"-1095.61","-600.065","605.071","-939.184","-174.076","985.608","-1145.75","-402.988","1432.74","-1096.16","-299.516","1135.46","-976.286","-454.638","1637.42","-1127.98","-869.926","562.1","-1023","-629.555","1306.18","-1039.73","-812.524","1490.99","-864.631","-654.87","996.339","-1114.79","-599.696","191.612","-1382.18","-987.965","261.961","-989.112","-816.799","1166.11","-1165.62","-850.878","1075.94","nan","nan","nan"
9,0,"-1096.28","-600.75","605.103","-940.759","-176.12","987.34","-1148.9","-405.548","1433.67","-1098.39","-301.808","1136.62","-980.467","-458.093","1639.12","-1129.13","-871.401","561.69","-1025.84","-632.234","1307.23","-1044.07","-815.575","1491.51","-865.757","-656.53","998.598","-1114.91","-599.861","191.606","-1383.99","-988.713","261.951","-991.397","-819.018","1167.03","-1167.67","-852.28","1075.52","nan","nan","nan"
10,0,"-1096.93","-601.508","605.162","-942.572","-178.429","988.791","-1152.14","-408.159","1434.56","-1100.7","-304.321","1137.66","-984.694","-461.551","1640.72","-1130.52","-872.967","561.239","-1028.77","-634.96","1308.32","-1048.48","-818.652","1492.03","-867.113","-658.407","1000.58","-1115.01","-600.023","191.54","-1386.07","-989.284","261.933","-993.834","-821.395","1167.89","-1169.77","-853.767","1075.07","nan","nan","nan"
