Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (661)",,,"Reconstruction Position - Unlabeled Track (685)",,,"Reconstruction Position - Unlabeled Track (687)",,,"Reconstruction Position - Unlabeled Track (698)",,,"Reconstruction Position - Unlabeled Track (699)",,,"Reconstruction Position - Unlabeled Track (701)",,,"Reconstruction Position - Unlabeled Track (702)",,,"Reconstruction Position - Unlabeled Track (703)",,,"Reconstruction Position - Unlabeled Track (704)",,,"Reconstruction Position - Unlabeled Track (707)",,,"Reconstruction Position - Unlabeled Track (708)",,,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (710)",,,"Reconstruction Position - Unlabeled Track (711)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
13,0,"-1089.37","-598.702","1496.93","-1184.27","-766.319","1234.85","-1206.48","-678.058","1046.9","-1243.37","-473.802","592.015","-1271.03","-504.492","189.853","-1475.67","-872.165","259.192","-1247.1","-708.641","557.184","-1112.76","-811.217","982.285","-1118.61","-417.905","1285.39","-1156.98","-199.76","1636.17","-1352.18","-261.877","841.941","-1292.18","-219.195","1406.11","nan","nan","nan","nan","nan","nan"
14,0,"-1088.84","-598.38","1496.51","-1183.52","-766.117","1234.41","-1206.45","-678.228","1046.85","-1243.67","-473.965","591.952","-1271.09","-504.448","189.836","-1475.3","-872.359","259.092","-1246.74","-708.609","556.963","-1112.35","-810.543","981.61","-1118.9","-418.029","1284.96","-1156.72","-199.445","1635.63","-1353.29","-261.75","841.685","-1292.2","-219.259","1405.75","nan","nan","nan","nan","nan","nan"
15,0,"-1088.3","-598.081","1496.1","-1182.78","-765.847","1233.96","-1206.38","-678.359","1046.76","-1243.94","-474.059","591.853","-1271.15","-504.435","189.75","-1475.21","-872.388","259.315","-1246.35","-708.601","556.781","-1111.88","-809.909","981.042","-1119.17","-418.155","1284.58","-1156.5","-199.124","1635.1","-1354.24","-261.56","841.351","-1292.25","-219.325","1405.44","nan","nan","nan","nan","nan","nan"
16,0,"-1087.79","-597.755","1495.73","-1181.97","-765.573","1233.5","-1206.29","-678.494","1046.69","-1244.29","-474.166","591.813","-1271.25","-504.438","189.694","-1474.87","-872.555","259.308","-1245.96","-708.571","556.626","-1111.39","-809.058","980.238","-1119.4","-418.256","1284.22","-1156.29","-198.838","1634.62","-1354.77","-261.384","840.867","-1292.27","-219.404","1405.04","nan","nan","nan","nan","nan","nan"
17,0,"-1087.27","-597.453","1495.39","-1181.15","-765.305","1233.01","-1206.18","-678.611","1046.6","-1244.56","-474.231","591.744","-1271.29","-504.423","189.625","-1474.65","-872.705","259.433","-1245.67","-708.556","556.656","-1110.8","-808.321","979.668","-1119.65","-418.348","1283.86","-1156.1","-198.557","1634.17","-1355.22","-261.16","840.62","-1292.38","-219.476","1404.78","nan","nan","nan","nan","nan","nan"
18,0,"-1086.74","-597.176","1495.04","-1180.23","-765.051","1232.54","-1206.07","-678.719","1046.52","-1244.83","-474.283","591.664","-1271.28","-504.181","189.617","-1474.2","-872.986","259.35","-1245.22","-708.451","556.489","-1110.24","-807.467","978.962","-1119.81","-418.386","1283.48","-1155.83","-198.3","1633.67","-1355.35","-260.866","840.353","-1292.45","-219.559","1404.49","nan","nan","nan","nan","nan","nan"
19,0,"-1086.2","-596.893","1494.7","-1179.21","-764.712","1232.04","-1205.93","-678.81","1046.44","-1245.06","-474.282","591.669","-1271.31","-504.169","189.503","-1473.84","-873.167","259.419","-1244.8","-708.298","556.281","-1109.64","-806.68","978.23","-1120.02","-418.494","1283.16","-1155.6","-198.053","1633.26","-1355.3","-260.547","840.152","-1292.52","-219.654","1404.18","nan","nan","nan","nan","nan","nan"
20,0,"-1085.64","-596.603","1494.38","-1178.12","-764.362","1231.51","-1205.84","-678.963","1046.42","-1245.26","-474.265","591.722","-1271.36","-504.131","189.466","-1473.53","-873.316","259.379","-1244.32","-708.083","556.003","-1109.1","-805.858","977.449","-1120.17","-418.533","1282.84","-1155.33","-197.824","1632.83","-1354.95","-260.238","839.863","-1292.58","-219.758","1403.88","nan","nan","nan","nan","nan","nan"
21,0,"-1085.07","-596.308","1494.07","-1176.99","-763.952","1230.96","-1205.82","-679.107","1046.39","-1245.37","-474.178","591.769","-1271.33","-503.806","189.483","-1473.15","-873.522","259.305","-1243.92","-707.85","555.899","-1108.55","-805.057","976.64","-1120.32","-418.585","1282.51","-1155.06","-197.627","1632.43","-1354.33","-259.883","839.301","-1292.64","-219.845","1403.55","nan","nan","nan","nan","nan","nan"
22,0,"-1084.48","-596.016","1493.73","-1175.88","-763.505","1230.36","-1205.82","-679.27","1046.38","-1245.37","-474.031","591.829","-1271.38","-503.725","189.426","-1473.02","-873.638","259.57","-1243.52","-707.501","555.663","-1108.03","-804.22","975.832","-1120.51","-418.673","1282.19","-1154.71","-197.418","1631.99","-1353.49","-259.437","838.939","-1292.7","-219.931","1403.2","nan","nan","nan","nan","nan","nan"
23,0,"-1083.82","-595.667","1493.34","-1174.79","-762.987","1229.66","-1205.91","-679.491","1046.43","-1245.33","-473.856","591.898","-1271.4","-503.625","189.373","-1472.64","-873.405","259.373","-1243.01","-707.1","555.449","-1107.57","-803.167","974.881","-1120.67","-418.763","1281.81","-1154.31","-197.256","1631.59","-1352.33","-258.989","838.408","-1292.74","-220.028","1402.85","nan","nan","nan","nan","nan","nan"
24,0,"-1083.2","-595.375","1493","-1173.69","-762.424","1228.87","-1205.94","-679.703","1046.37","-1245.15","-473.626","592.015","-1271.38","-503.235","189.493","-1472.38","-873.447","259.565","-1242.47","-706.641","555.129","-1107.11","-801.821","973.871","-1120.8","-418.86","1281.41","-1153.87","-197.094","1631.16","-1351.05","-258.471","838.002","-1292.81","-220.132","1402.51","nan","nan","nan","nan","nan","nan"
25,0,"-1082.54","-595.05","1492.64","-1172.6","-761.836","1228","-1206.08","-680.042","1046.36","-1244.89","-473.401","592.096","-1271.41","-503.156","189.492","-1472.01","-873.512","259.563","-1242.01","-706.262","555.028","-1106.74","-799.86","972.668","-1120.91","-419.035","1281.09","-1153.36","-196.978","1630.73","-1349.51","-257.969","837.691","-1292.87","-220.228","1402.14","nan","nan","nan","nan","nan","nan"
