Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (782)",,,"Reconstruction Position - Unlabeled Track (787)",,,"Reconstruction Position - Unlabeled Track (788)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (790)",,,"Reconstruction Position - Unlabeled Track (812)",,,"Reconstruction Position - Unlabeled Track (814)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1060.39","-392.893","1400.69","-901.617","-442.08","1640.22","-970.028","-807.175","1507.07","-1018.64","-914.635","1204.19","-1070.79","-385.685","1076.73","-950.126","-639.958","1305.28","-974.063","-356.612","849.761","-946.569","-891.181","951.299","-1055.55","-633.897","594.021","-1085.47","-648.764","187.801","-1090.71","-899.263","559.359","-1330.97","-1030.41","258.336","-1091.31","-574.155","1036.97","-1081.03","-864.6","1048.43"
2,0,"-1059.26","-391.681","1399.43","-899.537","-439.062","1634.82","-968.3","-805.622","1506.87","-1018.42","-914.142","1204.64","-1071.49","-386.393","1075.11","-949.272","-638.977","1304.3","-976.678","-358.759","847.632","-947.714","-892.7","951.341","-1054.9","-634.185","593.852","-1085.36","-648.741","187.735","-1091.23","-899.262","559.458","-1331.33","-1030.29","258.413","-1091.32","-574.282","1036.55","-1081.38","-864.731","1048.71"
3,0,"-1058.23","-390.516","1398.24","-896.911","-435.97","1629.82","-966.579","-804.101","1506.68","-1018.19","-913.624","1205","-1072.3","-387.022","1073.71","-948.424","-637.995","1303.3","-979.196","-360.906","845.517","-948.802","-894.121","951.181","-1054.68","-634.073","594.105","-1085.2","-648.716","187.665","-1091.74","-899.199","559.594","-1331.76","-1030.06","258.421","-1091.32","-574.345","1036.12","-1081.73","-864.817","1048.95"
4,0,"-1057.24","-389.395","1397.03","-894.385","-433.047","1624.79","-964.827","-802.593","1506.41","-1017.86","-913.256","1205.33","-1073.25","-387.487","1072.48","-947.58","-637.089","1302.3","-981.627","-363.005","843.452","-949.776","-895.6","951.162","-1054.44","-634.773","593.933","-1085.08","-648.689","187.609","-1092.17","-899.139","559.851","-1331.43","-1030.32","258.326","-1091.38","-574.423","1035.71","-1082.07","-864.905","1049.19"
5,0,"-1056.25","-388.274","1395.8","-892.072","-430.243","1620.01","-963.099","-801.121","1506.15","-1017.51","-912.966","1205.65","-1074.05","-388.095","1071.1","-946.726","-636.134","1301.22","-983.905","-365.155","841.356","-950.649","-897.095","951.238","-1052.97","-633.836","594.336","-1084.93","-648.711","187.576","-1092.49","-899","559.985","-1331.62","-1030.13","258.313","-1091.36","-574.523","1035.36","-1082.38","-864.973","1049.38"
6,0,"-1055.25","-387.181","1394.59","-889.851","-427.602","1615.28","-961.346","-799.652","1505.82","-1017.14","-912.705","1205.87","-1075","-388.606","1069.89","-945.869","-635.265","1300.23","-986.17","-367.257","839.456","-951.545","-898.308","951.069","-1052.3","-634.048","594.191","-1084.71","-648.754","187.499","-1092.67","-898.745","559.994","-1331.69","-1029.92","258.379","-1091.33","-574.604","1035.02","-1082.69","-865.035","1049.54"
7,0,"-1054.28","-386.074","1393.42","-887.741","-425.095","1610.86","-959.601","-798.268","1505.55","-1016.7","-912.474","1206.07","-1075.8","-389.161","1068.6","-944.998","-634.426","1299.19","-988.336","-369.333","837.558","-952.358","-899.58","951.051","-1051.72","-634.358","594.005","-1084.55","-648.806","187.486","-1092.74","-898.556","560.081","-1332.17","-1029.3","258.448","-1091.36","-574.605","1034.68","-1082.98","-865.09","1049.71"
8,0,"-1053.32","-385.017","1392.22","-885.732","-422.713","1606.6","-957.855","-796.906","1505.3","-1016.23","-912.293","1206.25","-1076.68","-389.665","1067.38","-944.135","-633.637","1298.16","-990.49","-371.407","835.82","-953.081","-900.885","951.21","-1051.31","-633.896","594.409","-1084.32","-648.845","187.418","-1092.71","-898.336","560.156","-1331.58","-1029.47","258.343","-1091.35","-574.633","1034.37","-1083.31","-865.199","1049.94"
9,0,"-1052.33","-384.017","1391.04","-883.802","-420.412","1602.73","-956.127","-795.529","1505.03","-1015.75","-912.061","1206.4","-1077.49","-390.235","1066.13","-943.302","-632.907","1297.15","-992.5","-373.529","834.052","-953.694","-902.14","951.237","-1050.42","-633.888","593.914","-1084.13","-648.864","187.383","-1092.6","-898.115","560.3","-1331.43","-1029.21","258.324","-1091.39","-574.676","1034.08","-1083.61","-865.197","1050.1"
10,0,"-1051.31","-383.074","1389.84","-881.965","-418.302","1599.02","-954.416","-794.215","1504.76","-1015.19","-911.842","1206.56","-1078.36","-390.749","1065.01","-942.495","-632.199","1296.21","-994.481","-375.646","832.349","-954.248","-903.285","951.195","-1050.15","-633.732","593.729","-1083.96","-648.928","187.353","-1092.41","-897.853","560.421","-1331.19","-1028.99","258.34","-1091.4","-574.733","1033.8","-1083.89","-865.232","1050.25"
