Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (817)",,,"Reconstruction Position - Unlabeled Track (826)",,,"Reconstruction Position - Unlabeled Track (829)",,,"Reconstruction Position - Unlabeled Track (832)",,,"Reconstruction Position - Unlabeled Track (836)",,,"Reconstruction Position - Unlabeled Track (838)",,
11,0,"-1101.18","-324.673","1356.46","-914.274","-337.416","1551.65","-980.519","-725.433","1467.36","-1067.82","-867.699","1188.68","-1157.39","-353.152","1030.42","-1001.31","-575.29","1256.42","-1069.99","-360.864","798.849","-1187.89","-870.561","571.493","-1152.88","-558.846","599.987","-1045.29","-863.52","927.581","-1162.01","-562.526","192.971","-1409.49","-960.691","252.786","-1177.89","-819.767","1062.08","nan","nan","nan"
12,0,"-1100.34","-322.766","1355.84","-913.748","-334.657","1551.28","-979.142","-722.684","1467.75","-1065.23","-864.664","1188.44","-1155.84","-349.93","1029.6","-1000.37","-573.232","1256.63","-1066.42","-355.913","798.721","-1185.43","-869.419","571.88","-1153.18","-556.914","600.456","-1042.16","-858.952","927.221","-1162.18","-562.023","193.07","-1410.32","-961.333","255.087","-1176.36","-818.037","1062.4","nan","nan","nan"
13,0,"-1099.61","-320.938","1355.21","-913.331","-332.028","1550.94","-977.831","-719.992","1468.11","-1062.42","-860.986","1187.74","-1154.32","-346.749","1028.79","-999.452","-571.264","1256.73","-1062.86","-351.009","798.599","-1183.03","-868.18","572.246","-1152.09","-556.54","599.38","-1038.98","-854.454","926.934","-1162.35","-561.525","193.213","-1411.15","-962.018","257.29","-1174.96","-816.667","1063.06","nan","nan","nan"
14,0,"-1098.93","-319.214","1354.55","-912.967","-329.48","1550.6","-976.543","-717.345","1468.41","-1059.82","-857.724","1187.23","-1152.83","-343.543","1028.1","-998.62","-569.336","1256.87","-1059.26","-346.07","798.511","-1181.02","-866.684","572.428","-1153.28","-555.004","600.807","-1035.78","-849.639","926.421","-1162.51","-561.133","193.235","-1411.86","-962.56","259.514","-1173.61","-815.433","1063.73","nan","nan","nan"
15,0,"-1098.38","-317.499","1353.96","-912.691","-327.056","1550.32","-975.322","-714.821","1468.73","-1057.22","-854.528","1186.69","-1151.21","-340.482","1027.27","-997.803","-567.461","1256.95","-1055.66","-341.084","798.423","-1179.51","-864.278","572.303","-1153.21","-554.624","600.297","-1032.61","-844.782","925.901","-1162.59","-560.76","193.26","-1412.78","-962.995","261.744","-1172.63","-815.15","1064.93","nan","nan","nan"
16,0,"-1097.89","-315.92","1353.37","-912.481","-324.713","1550.06","-974.153","-712.35","1468.95","-1054.67","-851.318","1186.11","-1149.6","-337.447","1026.54","-997.021","-565.598","1257.07","-1052.05","-336.077","798.372","-1177.9","-863.065","572.174","-1153.09","-554.328","600.497","-1029.35","-839.852","925.516","-1162.64","-560.515","193.294","-1413.41","-963.509","263.839","-1171.21","-813.79","1065.38","nan","nan","nan"
17,0,"-1097.5","-314.37","1352.82","-912.31","-322.478","1549.88","-973.122","-710.05","1469.29","-1052.15","-848.178","1185.47","-1148.03","-334.402","1025.99","-996.328","-563.778","1257.15","-1048.76","-330.941","798.44","-1176.08","-861.546","572.304","-1153.06","-553.153","601","-1025.91","-834.854","925.044","-1162.69","-560.295","193.369","-1414.03","-964.058","265.789","-1169.97","-812.737","1066.03","nan","nan","nan"
18,0,"-1097.19","-312.9","1352.34","-912.212","-320.39","1549.72","-972.151","-707.8","1469.59","-1049.71","-845.114","1184.82","-1146.42","-331.423","1025.57","-995.602","-561.926","1257.22","-1045.51","-325.831","798.506","-1174.34","-860.06","572.485","-1152.47","-553.81","599.705","-1022.4","-829.681","924.426","-1162.68","-560.063","193.381","-1414.06","-965.023","267.254","-1168.78","-811.871","1066.65","nan","nan","nan"
19,0,"-1096.98","-311.48","1351.89","-912.172","-318.364","1549.53","-971.282","-705.778","1469.92","-1047.3","-842.097","1184.11","-1144.6","-328.536","1025.09","-994.952","-560.192","1257.32","-1042.42","-320.656","798.641","-1172.73","-858.55","572.62","-1151.97","-553.755","599.775","-1018.9","-824.435","923.94","-1162.72","-559.847","193.442","-1414.37","-965.527","268.999","-1167.65","-811.042","1067.22","nan","nan","nan"
20,0,"-1096.82","-310.145","1351.45","-912.221","-316.439","1549.34","-970.523","-703.855","1470.3","-1044.82","-839.166","1183.3","-1142.83","-325.591","1024.79","-994.309","-558.536","1257.43","-1039.3","-315.456","798.792","-1171.21","-857.011","572.654","-1151.36","-553.474","599.903","-1015.23","-819.107","923.472","-1162.77","-559.695","193.423","-1414.73","-965.919","270.64","-1166.57","-810.33","1067.77","nan","nan","nan"
21,0,"-1096.91","-308.841","1351.19","-912.291","-314.608","1549.16","-969.759","-702.033","1470.59","-1042.33","-836.312","1182.48","-1140.96","-322.73","1024.44","-993.712","-556.975","1257.6","-1036.3","-310.255","799.134","-1169.8","-855.555","572.784","-1150.98","-553.09","599.897","-1011.85","-813.34","922.752","-1162.76","-559.545","193.409","-1414.79","-966.397","271.925","-1165.54","-809.725","1068.26","nan","nan","nan"
22,0,"-1096.96","-307.646","1350.78","-912.427","-312.918","1549.01","-969.111","-700.281","1470.9","-1039.9","-833.447","1181.6","-1138.36","-320.603","1023.17","-993.165","-555.561","1257.72","-1033.29","-305.045","799.592","-1168.53","-853.975","572.864","-1150.31","-553.293","599.936","-1008.26","-807.669","922.285","-1162.74","-559.483","193.402","-1414.88","-966.653","273.206","-1164.57","-809.178","1068.77","nan","nan","nan"
23,0,"-1097.14","-306.525","1350.47","-912.609","-311.311","1548.85","-968.529","-698.686","1471.27","-1037.55","-830.609","1180.67","-1136.51","-317.924","1022.89","-992.659","-554.256","1257.87","-1030.28","-299.836","800.139","-1167.32","-852.243","572.676","-1149.9","-553.14","599.819","-1004.71","-801.727","921.686","-1162.75","-559.45","193.389","-1414.77","-966.927","274.211","-1163.64","-808.663","1069.17","nan","nan","nan"
24,0,"-1097.34","-305.584","1350.09","-912.905","-309.8","1548.72","-967.957","-697.135","1471.56","-1035.3","-827.767","1179.67","-1134.65","-315.322","1022.61","-992.178","-553.093","1258.08","-1027.09","-294.696","800.631","-1166.2","-850.536","572.604","-1149.63","-552.888","599.816","-1001.11","-795.777","921.167","-1162.65","-559.468","193.278","-1414.67","-967.019","275.091","-1162.77","-808.265","1069.56","nan","nan","nan"
25,0,"-1097.55","-304.704","1349.8","-913.241","-308.382","1548.57","-967.527","-695.741","1471.95","-1033.07","-824.974","1178.66","-1132.83","-312.769","1022.38","-991.694","-551.99","1258.3","-1023.99","-289.605","801.247","-1165.29","-848.772","572.41","-1148.85","-553.314","599.766","-997.599","-789.791","920.57","-1162.56","-559.553","193.183","-1413.99","-967.383","275.559","-1161.96","-807.922","1069.88","nan","nan","nan"
26,0,"-1097.67","-303.844","1349.49","-913.656","-307.144","1548.51","-967.066","-694.366","1472.21","-1030.86","-822.172","1177.6","-1131.06","-310.236","1022.23","-991.235","-550.971","1258.41","-1020.79","-284.605","802.057","-1164.41","-847.13","572.3","-1148.4","-553.227","599.198","-993.74","-783.73","920.104","-1162.52","-559.704","193.167","-1413.42","-967.534","275.955","-1161.22","-807.591","1070.17","nan","nan","nan"
27,0,"-1097.93","-302.954","1349.58","-914.127","-305.933","1548.37","-966.699","-693.053","1472.44","-1028.69","-819.37","1176.46","-1129.26","-307.675","1022.2","-990.776","-550.008","1258.5","-1017.63","-279.582","802.986","-1163.59","-845.698","572.225","-1147.98","-553.495","599.286","-989.906","-777.477","919.542","-1162.45","-559.833","193.12","-1412.75","-967.66","276.176","-1160.57","-807.437","1070.47","nan","nan","nan"
28,0,"-1098.21","-302.789","1349.18","-914.681","-304.879","1548.27","-966.415","-691.916","1472.67","-1026.48","-816.59","1175.26","-1127.39","-305.147","1022.08","-990.28","-549.108","1258.65","-1014.59","-274.565","804.088","-1162.96","-844.26","571.979","-1147.7","-553.823","599.445","-986.005","-771.242","919.093","-1162.38","-559.95","193.035","-1411.97","-967.731","276.208","-1159.89","-807.267","1070.67","nan","nan","nan"
29,0,"-1098.35","-302.26","1349.08","-915.315","-303.94","1548.26","-966.242","-690.923","1472.96","-1024.21","-813.814","1174.07","-1125.52","-302.63","1022.11","-989.771","-548.309","1258.81","-1011.53","-269.575","805.182","-1162.39","-843.089","571.933","-1147.32","-553.916","599.205","-982.122","-764.902","918.561","-1162.3","-560.044","192.968","-1410.54","-968.129","275.812","-1159.26","-807.168","1070.82","nan","nan","nan"
30,0,"-1098.54","-301.79","1349.13","-916.03","-303.054","1548.22","-966.12","-690.034","1473.25","-1021.94","-811","1172.88","-1123.62","-300.189","1022.18","-989.298","-547.599","1258.99","-1008.35","-264.578","806.241","-1161.81","-842.056","571.796","-1146.78","-554.313","598.934","-978.073","-758.574","918.234","-1162.14","-560.148","192.909","-1409.37","-968.168","275.358","-1158.64","-807.135","1070.92","nan","nan","nan"
31,0,"-1098.77","-301.415","1349.28","-916.768","-302.291","1548.29","-966.05","-689.271","1473.49","-1019.65","-808.2","1171.73","-1121.76","-297.803","1022.39","-988.805","-547.021","1259.23","-1005.17","-259.578","807.513","-1161.32","-841.108","571.691","-1146.6","-554.361","598.887","-974.136","-752.193","917.966","-1161.96","-560.303","192.927","-1407.63","-968.365","274.589","-1158.03","-807.211","1070.95","nan","nan","nan"
32,0,"-1099.01","-301.157","1349.46","-917.563","-301.659","1548.37","-966","-688.623","1473.75","-1017.4","-805.432","1170.62","-1119.9","-295.451","1022.67","-988.368","-546.485","1259.47","-1002.14","-254.569","809.003","-1160.9","-840.272","571.637","-1146.41","-554.425","598.928","-970.102","-745.737","917.776","-1161.73","-560.504","192.862","-1405.92","-968.27","273.577","-1157.48","-807.241","1070.92","nan","nan","nan"
33,0,"-1099.18","-300.979","1349.6","-918.451","-301.123","1548.57","-966.029","-688.113","1474.06","-1015.13","-802.668","1169.55","-1118.04","-293.156","1023.02","-987.979","-546.126","1259.72","-999.058","-249.583","810.549","-1160.46","-839.414","571.558","-1146.04","-554.985","599.214","-966.214","-739.332","917.686","-1161.52","-560.727","192.811","-1403.94","-968.162","272.644","-1156.91","-807.329","1070.83","nan","nan","nan"
34,0,"-1099.41","-300.914","1349.79","-919.369","-300.709","1548.84","-966.062","-687.644","1474.32","-1012.89","-799.945","1168.54","-1116.25","-290.956","1023.47","-987.634","-545.801","1259.99","-995.948","-244.675","812.18","-1160","-838.471","571.533","-1146.01","-554.764","599.234","-962.427","-733.045","917.692","-1161.33","-560.984","192.837","-1401.74","-968.25","271.624","-1156.34","-807.393","1070.68","nan","nan","nan"
35,0,"-1099.73","-300.925","1350.15","-920.327","-300.369","1549.08","-966.155","-687.292","1474.68","-1010.7","-797.276","1167.56","-1114.41","-288.803","1023.91","-987.365","-545.543","1260.29","-992.916","-239.839","814.123","-1159.32","-837.351","571.31","-1145.45","-555.278","599.23","-957.807","-726.488","917.918","-1161.11","-561.287","192.801","-1401.26","-967.674","270.954","-1155.77","-807.438","1070.46","nan","nan","nan"
36,0,"-1100.04","-301.018","1350.48","-921.289","-300.157","1549.4","-966.229","-687.012","1474.99","-1008.61","-794.723","1166.64","-1112.63","-286.63","1024.51","-987.158","-545.347","1260.63","-989.723","-235.146","815.904","-1158.5","-836.185","571.191","-1145.16","-555.553","599.167","-953.761","-720.323","918.212","-1160.83","-561.766","192.756","-1399.73","-967.688","270.341","-1155.23","-807.474","1070.21","nan","nan","nan"
37,0,"-1100.29","-301.179","1350.78","-922.324","-300.01","1549.81","-966.307","-686.83","1475.33","-1006.55","-792.151","1165.69","-1110.84","-284.516","1025.15","-987.02","-545.132","1260.97","-986.599","-230.532","817.96","-1157.68","-835.083","571.221","-1144.95","-555.905","599.154","-949.779","-714.301","918.585","-1160.54","-562.311","192.716","-1398.62","-967.455","270.073","-1154.76","-807.715","1070.06","nan","nan","nan"
38,0,"-1100.66","-301.425","1351.22","-923.371","-300.024","1550.28","-966.368","-686.687","1475.6","-1004.54","-789.701","1164.8","-1109.11","-282.473","1025.93","-986.984","-544.962","1261.26","-983.476","-226.146","820.028","-1156.86","-833.976","571.104","-1144.45","-556.733","599.207","-945.79","-708.366","919.041","-1160.2","-562.902","192.595","-1397.66","-966.956","269.629","-1154.32","-807.914","1069.92","nan","nan","nan"
39,0,"-1101.1","-301.705","1351.76","-924.444","-300.094","1550.81","-966.474","-686.617","1475.85","-1002.57","-787.331","1163.93","-1107.39","-280.532","1026.7","-987.047","-544.774","1261.55","-980.444","-221.818","822.312","-1156.03","-833.09","570.925","-1144.15","-557.363","599.063","-941.881","-702.441","919.484","-1159.95","-563.491","192.506","-1396.65","-966.538","269.312","-1153.92","-807.975","1069.65","nan","nan","nan"
40,0,"-1101.56","-302.031","1352.36","-925.579","-300.271","1551.49","-966.606","-686.642","1476.12","-1000.62","-785.06","1163.12","-1105.77","-278.663","1027.7","-987.113","-544.638","1261.9","-977.285","-217.539","824.44","-1155.45","-832.556","570.901","-1143.92","-557.996","599.148","-938.036","-696.894","920.288","-1159.58","-564.046","192.405","-1394.41","-966.4","268.709","-1153.57","-808.026","1069.41","nan","nan","nan"
41,0,"-1102.08","-302.414","1353.06","-926.658","-300.554","1552.23","-966.787","-686.665","1476.36","-998.779","-782.838","1162.31","-1104.19","-276.923","1028.74","-987.234","-544.523","1262.23","-974.405","-213.452","826.964","-1155","-832.162","570.812","-1143.53","-558.681","599.037","-934.221","-691.354","921.008","-1159.22","-564.599","192.392","-1393.29","-966.083","267.886","-1153.25","-808.126","1069.15","nan","nan","nan"
42,0,"-1102.66","-302.836","1353.78","-927.743","-300.916","1552.98","-967.034","-686.846","1476.68","-996.969","-780.754","1161.58","-1102.65","-275.298","1029.82","-987.397","-544.508","1262.65","-971.66","-209.517","829.659","-1154.7","-831.991","570.783","-1142.91","-559.619","599.301","-930.481","-686.024","921.886","-1158.83","-565.094","192.364","-1392.44","-965.712","267.047","-1152.98","-808.278","1068.95","nan","nan","nan"
43,0,"-1103.28","-303.285","1354.58","-928.867","-301.367","1553.91","-967.345","-687.134","1477.02","-995.248","-778.758","1160.91","-1101.21","-273.798","1031.06","-987.575","-544.562","1263.1","-968.996","-205.686","832.427","-1154.58","-831.919","570.719","-1142.51","-560.157","599.524","-926.812","-680.856","922.845","-1158.43","-565.617","192.41","-1390.91","-965.699","266.018","-1152.76","-808.428","1068.75","nan","nan","nan"
44,0,"-1103.96","-303.769","1355.45","-929.977","-301.91","1554.88","-967.697","-687.445","1477.34","-993.545","-776.867","1160.26","-1099.82","-272.393","1032.32","-987.792","-544.704","1263.61","-966.449","-201.986","835.325","-1154.55","-831.916","570.718","-1141.86","-560.791","599.623","-923.147","-676.036","923.997","-1158.05","-566.108","192.432","-1390.76","-965.472","264.911","-1152.55","-808.543","1068.57","nan","nan","nan"
45,0,"-1104.62","-304.255","1356.32","-931.061","-302.53","1555.86","-968.056","-687.833","1477.7","-991.92","-775.099","1159.72","-1098.51","-271.117","1033.57","-988.048","-544.813","1264.05","-963.927","-198.408","838.181","-1154.64","-831.887","570.712","-1141.38","-561.211","599.843","-919.666","-671.248","925.143","-1157.64","-566.553","192.469","-1389.99","-965.374","264.123","-1152.37","-808.647","1068.37","nan","nan","nan"
46,0,"-1105.29","-304.8","1357.18","-932.179","-303.184","1556.9","-968.469","-688.254","1478.1","-990.326","-773.453","1159.26","-1097.26","-269.997","1034.86","-988.325","-545.008","1264.7","-961.542","-194.99","841.15","-1154.77","-831.769","570.676","-1140.56","-562.043","600.281","-916.259","-666.783","926.354","-1157.33","-566.952","192.473","-1389.25","-965.499","263.542","-1152.19","-808.775","1068.21","nan","nan","nan"
47,0,"-1106.06","-305.35","1358.18","-933.305","-303.908","1557.98","-968.886","-688.725","1478.51","-988.778","-771.859","1158.85","-1096.09","-268.956","1036.15","-988.622","-545.184","1265.29","-959.237","-191.653","844.132","-1154.9","-831.629","570.629","-1139.86","-562.561","600.24","-913.078","-662.447","927.768","-1156.99","-567.354","192.528","-1388.66","-965.88","262.96","-1152.04","-808.96","1068.09","nan","nan","nan"
48,0,"-1106.81","-305.935","1359.14","-934.437","-304.689","1559.05","-969.296","-689.225","1478.92","-987.249","-770.43","1158.53","-1095.04","-267.99","1037.55","-988.899","-545.343","1265.93","-957.054","-188.448","847.173","-1155.08","-831.483","570.525","-1139.36","-562.915","600.485","-910.022","-658.354","929.142","-1156.68","-567.709","192.55","-1388.45","-966.207","262.665","-1151.89","-809.009","1067.81","nan","nan","nan"
49,0,"-1107.54","-306.524","1360.08","-935.618","-305.53","1560.19","-969.785","-689.759","1479.39","-985.785","-769.039","1158.28","-1094.05","-267.068","1038.9","-989.253","-545.475","1266.5","-954.989","-185.36","850.226","-1155.41","-831.267","570.376","-1138.83","-563.297","600.714","-907.101","-654.457","930.667","-1156.37","-568.03","192.47","-1388.55","-966.413","262.611","-1151.74","-809.605","1068.24","nan","nan","nan"
50,0,"-1108.35","-307.128","1361.1","-936.758","-306.39","1561.34","-970.265","-690.318","1479.82","-984.385","-767.82","1158.13","-1093.14","-266.186","1040.31","-989.648","-545.637","1267.08","-953.027","-182.421","853.335","-1155.86","-831.159","570.272","-1137.79","-564.182","600.709","-904.263","-650.807","932.191","-1156.08","-568.399","192.471","-1388.57","-966.795","262.354","-1151.63","-809.748","1068.16","nan","nan","nan"
51,0,"-1109.16","-307.725","1362.11","-937.918","-307.325","1562.59","-970.791","-690.876","1480.28","-983.081","-766.741","1157.98","-1092.28","-265.314","1041.73","-990.04","-545.832","1267.76","-951.079","-179.618","856.323","-1156.28","-831.173","570.155","-1137.23","-564.588","600.82","-901.663","-647.198","933.632","-1155.77","-568.805","192.463","-1388.61","-967.235","262.114","-1151.52","-809.911","1068.1","nan","nan","nan"
52,0,"-1109.97","-308.34","1363.13","-939.083","-308.298","1563.83","-971.329","-691.482","1480.74","-981.875","-765.748","1157.91","-1091.48","-264.473","1043.18","-990.461","-546.004","1268.41","-949.221","-176.886","859.345","-1156.84","-831.149","570.067","-1136.7","-564.997","600.936","-899.101","-643.98","935.299","-1155.41","-569.21","192.424","-1388.56","-967.748","261.802","-1151.4","-810.099","1068.06","nan","nan","nan"
53,0,"-1110.84","-308.958","1364.24","-940.233","-309.291","1565.1","-971.961","-692.221","1481.35","-980.805","-764.928","1157.86","-1090.73","-263.667","1044.68","-990.878","-546.201","1269.12","-947.474","-174.26","862.439","-1157.47","-831.221","570.036","-1136.11","-565.477","601.044","-896.722","-640.791","936.873","-1155.11","-569.588","192.418","-1388.69","-968.175","261.519","-1151.3","-810.25","1068.02","nan","nan","nan"
54,0,"-1111.71","-309.606","1365.39","-941.377","-310.324","1566.36","-972.382","-692.86","1482.05","-979.826","-764.183","1157.91","-1090.07","-262.882","1046.25","-991.305","-546.406","1269.85","-945.806","-171.732","865.554","-1158.11","-831.278","569.972","-1135.59","-565.823","601.163","-894.4","-637.91","938.658","-1154.89","-569.903","192.536","-1388.79","-968.601","261.324","-1151.2","-810.432","1068.03","nan","nan","nan"
55,0,"-1112.59","-310.227","1366.53","-942.556","-311.376","1567.73","-973.264","-693.725","1482.53","-979.006","-763.515","1157.98","-1089.39","-262.164","1047.73","-991.727","-546.691","1270.7","-944.254","-169.276","868.698","-1158.84","-831.217","569.885","-1135.03","-566.136","601.281","-892.205","-635.185","940.413","-1154.6","-570.222","192.466","-1388.91","-968.976","261.062","-1151.12","-810.575","1068.06","nan","nan","nan"
56,0,"-1113.42","-310.865","1367.62","-943.74","-312.389","1569.07","-973.76","-694.39","1483.3","-978.326","-762.996","1158.16","-1088.83","-261.475","1049.31","-992.183","-546.901","1271.41","-942.763","-166.94","871.812","-1159.49","-831.225","569.819","-1134.53","-566.319","601.414","-890.166","-632.625","942.277","-1154.34","-570.516","192.511","-1389.05","-969.342","260.895","-1151.02","-810.735","1068.11","nan","nan","nan"
57,0,"-1114.28","-311.467","1368.83","-944.89","-313.461","1570.47","-974.69","-695.364","1483.97","-977.728","-762.524","1158.39","-1088.34","-260.808","1050.86","-992.581","-547.222","1272.32","-941.336","-164.729","874.905","-1160.05","-831.38","569.824","-1134.04","-566.447","601.563","-888.19","-630.309","944.126","-1154.07","-570.719","192.52","-1389.25","-969.634","260.842","-1150.95","-810.898","1068.18","nan","nan","nan"
58,0,"-1115.04","-312.067","1369.86","-946.036","-314.475","1571.89","-975.409","-696.149","1484.67","-977.267","-762.179","1158.7","-1087.91","-260.154","1052.44","-992.967","-547.482","1273.16","-939.985","-162.639","877.935","-1160.5","-831.552","569.823","-1133.62","-566.504","601.682","-886.344","-628.236","946.157","-1153.88","-570.87","192.544","-1389.44","-969.956","260.769","-1150.87","-811.05","1068.27","nan","nan","nan"
59,0,"-1115.89","-312.642","1371.07","-947.194","-315.533","1573.29","-976.187","-696.99","1485.47","-976.866","-761.928","1159.05","-1087.52","-259.459","1053.97","-993.332","-547.813","1274.07","-938.723","-160.656","880.955","-1160.82","-831.862","569.893","-1133.22","-566.516","601.772","-884.625","-626.271","948.119","-1153.68","-570.986","192.492","-1389.79","-970.191","260.736","-1150.8","-811.193","1068.38","nan","nan","nan"
60,0,"-1116.69","-313.226","1372.25","-948.369","-316.56","1574.75","-977.012","-697.841","1486.26","-976.533","-761.803","1159.45","-1087.28","-258.79","1055.61","-993.66","-548.159","1274.98","-937.463","-158.869","883.836","-1161.17","-832.225","570.058","-1132.81","-566.542","601.879","-883.075","-624.531","950.106","-1153.54","-571.056","192.498","-1390.06","-970.414","260.755","-1150.78","-811.315","1068.47","nan","nan","nan"
61,0,"-1117.47","-313.788","1373.38","-949.527","-317.583","1576.19","-977.808","-698.642","1487.02","-976.287","-761.698","1159.89","-1087.02","-258.149","1057.06","-993.967","-548.421","1275.79","-936.302","-157.131","886.711","-1161.45","-832.662","570.207","-1132.44","-566.558","601.969","-881.61","-622.89","952.007","-1153.4","-571.125","192.573","-1390.33","-970.582","260.774","-1150.77","-811.412","1068.56","nan","nan","nan"
