Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (817)",,,"Reconstruction Position - Unlabeled Track (826)",,,"Reconstruction Position - Unlabeled Track (829)",,,"Reconstruction Position - Unlabeled Track (832)",,,"Reconstruction Position - Unlabeled Track (836)",,,"Reconstruction Position - Unlabeled Track (838)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1112.87","-351.007","1360.96","-925.156","-370.146","1557.14","-996.922","-757.425","1462.97","-1097.26","-897.378","1188.98","-1175.42","-392.453","1035.73","-1014.17","-601.27","1255.67","-1103.74","-411.497","801.147","-1218.71","-878.952","565.75","-1152.75","-573.072","600.544","-1072.55","-904.155","927.944","-1159.81","-569.672","191.609","-1404.28","-956.087","228.886","-1193.09","-838.46","1054.75","nan","nan","nan"
2,0,"-1111.34","-347.821","1360.46","-923.508","-366.448","1556.44","-994.987","-753.809","1463.35","-1094.18","-894.558","1189.15","-1173.43","-387.899","1035.28","-1012.16","-597.944","1255.61","-1100.67","-406.19","800.687","-1215.39","-878.202","566.589","-1152.88","-571.536","600.363","-1070.13","-900.486","928.115","-1160","-568.93","191.719","-1403.99","-956.356","231.083","-1191.5","-836.26","1055.65","nan","nan","nan"
3,0,"-1109.95","-344.723","1360.02","-921.995","-362.862","1555.74","-993.101","-750.236","1463.71","-1091.12","-891.78","1189.26","-1171.31","-383.5","1034.7","-1010.23","-594.797","1255.58","-1097.5","-400.967","800.291","-1212.07","-877.395","567.266","-1152.99","-569.937","600.198","-1067.53","-896.657","928.2","-1160.2","-568.171","191.777","-1403.95","-956.685","233.163","-1189.94","-834.293","1056.63","nan","nan","nan"
4,0,"-1108.66","-341.756","1359.61","-920.599","-359.345","1555.06","-991.285","-746.806","1464.12","-1088.1","-888.97","1189.32","-1169.33","-379.189","1034.21","-1008.57","-591.746","1255.53","-1094.28","-395.783","800.033","-1208.71","-876.734","568.035","-1153.02","-568.131","600.057","-1064.85","-892.784","928.325","-1160.45","-567.422","191.958","-1404.14","-957.109","235.407","-1188.4","-832.348","1057.5","nan","nan","nan"
5,0,"-1107.4","-338.924","1359.21","-919.342","-355.935","1554.49","-989.589","-743.491","1464.61","-1085.1","-886.057","1189.34","-1167.44","-375.006","1033.79","-1006.96","-588.969","1255.66","-1091","-390.684","799.857","-1205.4","-876.085","568.754","-1153.34","-566.561","600.042","-1062.21","-888.805","928.44","-1160.77","-566.61","192.183","-1404.64","-957.42","237.727","-1186.9","-830.494","1058.4","nan","nan","nan"
6,0,"-1106.21","-336.217","1358.81","-918.243","-352.625","1553.96","-987.934","-740.248","1465.07","-1082.14","-883.066","1189.32","-1165.49","-371.021","1033.23","-1005.49","-586.361","1255.81","-1087.55","-385.653","799.56","-1202.19","-875.34","569.355","-1153.56","-565.182","600.065","-1059.52","-884.794","928.445","-1160.99","-565.849","192.296","-1405.27","-957.9","240.058","-1185.19","-828.524","1058.78","nan","nan","nan"
7,0,"-1105.1","-333.645","1358.41","-917.216","-349.379","1553.39","-986.335","-737.097","1465.52","-1079.16","-880.028","1189.26","-1163.68","-367.183","1032.73","-1004.23","-583.871","1255.92","-1084.09","-380.65","799.422","-1199.09","-874.602","569.938","-1153.61","-563.394","600.274","-1056.85","-880.645","928.38","-1161.2","-565.098","192.401","-1405.88","-958.425","242.528","-1183.72","-826.84","1059.59","nan","nan","nan"
8,0,"-1104.02","-331.21","1358","-916.335","-346.235","1552.91","-984.834","-734.079","1466.03","-1076.18","-876.903","1189.16","-1162","-363.492","1032.23","-1002.89","-581.62","1256.24","-1080.64","-375.679","799.349","-1196.08","-873.703","570.337","-1153.96","-561.26","600.688","-1054.05","-876.358","928.164","-1161.45","-564.43","192.647","-1406.68","-959.039","245.102","-1182.28","-825.158","1060.36","nan","nan","nan"
9,0,"-1103.02","-328.9","1357.54","-915.507","-343.198","1552.43","-983.325","-731.102","1466.47","-1073.27","-873.719","1188.97","-1160.44","-359.933","1031.74","-1001.97","-579.321","1256.31","-1077.14","-370.695","799.218","-1193.21","-872.743","570.771","-1152.88","-561.354","599.74","-1051.18","-872.138","928.025","-1161.66","-563.742","192.828","-1407.65","-959.656","247.66","-1180.84","-823.47","1061.08","nan","nan","nan"
10,0,"-1102.06","-326.729","1357.01","-914.872","-340.271","1552.08","-981.896","-728.261","1466.93","-1070.49","-870.687","1188.84","-1158.89","-356.494","1031.1","-1000.92","-577.275","1256.61","-1073.55","-365.767","799.024","-1190.48","-871.783","571.221","-1152.94","-559.957","599.652","-1048.3","-867.815","927.809","-1161.82","-563.116","192.875","-1408.58","-960.182","250.237","-1179.38","-821.558","1061.62","nan","nan","nan"
