Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (717)",,,"Reconstruction Position - Unlabeled Track (720)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (772)",,,"Reconstruction Position - Unlabeled Track (789)",,,"Reconstruction Position - Unlabeled Track (817)",,,"Reconstruction Position - Unlabeled Track (841)",,,"Reconstruction Position - Unlabeled Track (846)",,,"Reconstruction Position - Unlabeled Track (849)",,,"Reconstruction Position - Unlabeled Track (853)",,,"Reconstruction Position - Unlabeled Track (854)",,,"Reconstruction Position - Unlabeled Track (855)",,,"Reconstruction Position - Unlabeled Track (856)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1490.1","-555.093","1402.11","-1392.76","-625.526","1675.69","-1403.74","-976.883","1472.3","-1375.78","-776.42","1298.4","-1306.38","-405.729","905.105","-1445.1","-909.496","511.128","-1353.28","-631.025","596.252","-1192.74","-921.975","984.108","-1682.13","-973.962","191.923","-1309.86","-547.436","197.76","-1355.63","-1054.36","1152.38","-1455.45","-958.344","1028.87","nan","nan","nan","nan","nan","nan"
2,0,"-1492.18","-558.677","1401.42","-1395.39","-629.186","1675.5","-1407.42","-980.81","1472.19","-1379.18","-780.86","1297.74","-1310.07","-411.583","902.622","-1447.96","-912.092","510.818","-1357.37","-632.429","596.826","-1196.87","-928.824","983.878","-1683.81","-974.54","190.766","-1312","-547.945","198.646","-1360.03","-1060.21","1152.65","-1458.6","-962.106","1028.53","nan","nan","nan","nan","nan","nan"
3,0,"-1494.12","-562.247","1400.64","-1397.91","-632.863","1675.33","-1411.04","-984.66","1472.12","-1382.46","-785.198","1297.23","-1313.77","-417.257","900.276","-1450.65","-914.603","510.72","-1360.92","-635.051","596.266","-1200.92","-935.651","983.683","-1685.3","-975.19","189.679","-1314.21","-548.45","199.577","-1364.39","-1065.93","1152.93","-1461.69","-965.842","1028.23","nan","nan","nan","nan","nan","nan"
4,0,"-1496.11","-565.709","1400.01","-1400.41","-636.409","1675.16","-1414.55","-988.456","1472.08","-1385.68","-789.263","1296.76","-1317.54","-422.925","898.021","-1453.31","-916.926","510.777","-1365.48","-637.067","596.711","-1204.99","-942.401","983.504","-1686.66","-975.772","188.635","-1316.29","-548.988","200.343","-1368.72","-1071.64","1153.32","-1464.76","-969.472","1027.95","nan","nan","nan","nan","nan","nan"
5,0,"-1498","-569.109","1399.44","-1402.89","-639.908","1675.19","-1418.03","-992.174","1472.13","-1388.74","-793.151","1296.35","-1321.27","-428.629","895.723","-1455.76","-919.18","510.868","-1369.57","-639.296","596.591","-1209.04","-949.076","983.357","-1688.29","-976.133","188.06","-1318.5","-549.574","201.321","-1373.01","-1077.23","1153.79","-1467.85","-973.033","1027.81","nan","nan","nan","nan","nan","nan"
6,0,"-1499.87","-572.413","1398.92","-1405.34","-643.249","1675.23","-1421.43","-995.774","1472.24","-1391.68","-796.855","1295.97","-1325.04","-434.169","893.628","-1458.17","-921.145","510.968","-1373.7","-641.503","596.538","-1213.02","-955.802","983.29","-1689.57","-976.63","187.404","-1320.7","-550.2","202.314","-1377.27","-1082.7","1154.32","-1470.94","-976.647","1027.82","nan","nan","nan","nan","nan","nan"
7,0,"-1501.58","-575.627","1398.34","-1407.69","-646.611","1675.3","-1424.81","-999.297","1472.47","-1394.5","-800.494","1295.71","-1328.92","-439.757","891.616","-1460.5","-922.999","511.112","-1377.73","-643.783","596.56","-1216.97","-962.479","983.244","-1690.6","-977.27","186.436","-1322.89","-550.971","203.211","-1381.48","-1088.05","1154.94","-1474","-980.074","1027.82","nan","nan","nan","nan","nan","nan"
8,0,"-1503.25","-578.791","1397.9","-1410.03","-649.84","1675.42","-1428.11","-1002.69","1472.72","-1397.19","-804.085","1295.45","-1332.68","-445.312","889.547","-1462.74","-924.85","511.44","-1381.73","-646.088","596.469","-1220.93","-969.077","983.233","-1691.64","-977.77","185.83","-1325.16","-551.777","204.274","-1385.67","-1093.35","1155.68","-1477.05","-983.372","1027.86","nan","nan","nan","nan","nan","nan"
9,0,"-1504.84","-581.841","1397.53","-1412.34","-653.006","1675.64","-1431.38","-1005.99","1473.08","-1399.75","-807.643","1295.2","-1336.37","-450.815","887.538","-1464.78","-926.535","511.602","-1386.15","-648.052","596.85","-1224.94","-975.536","983.212","-1692.59","-978.213","185.259","-1327.36","-552.673","205.291","-1389.79","-1098.54","1156.49","-1480.1","-986.715","1028.03","nan","nan","nan","nan","nan","nan"
10,0,"-1506.24","-584.824","1397.05","-1414.56","-656.093","1675.79","-1434.57","-1009.16","1473.44","-1402.21","-811.251","1295.03","-1340.1","-456.271","885.606","-1466.57","-928.265","511.796","-1389.7","-650.794","596.744","-1228.88","-981.982","983.294","-1693.52","-978.552","184.789","-1329.68","-553.61","206.41","-1393.86","-1103.62","1157.39","-1483.12","-989.934","1028.17","nan","nan","nan","nan","nan","nan"
