Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
83,0,"-100.289","-351.579","976.672","-10.6541","8.97975","-3.56742"
84,0,"-100.821","-350.793","974.576","-10.3586","8.7765","-3.40469"
85,0,"-101.373","-351.046","972.833","-10.0015","8.55222","-3.47217"
86,0,"-101.87","-351.497","970.745","-9.52253","8.46331","-3.58725"
87,0,"-102.543","-351.979","968.494","-9.06174","8.24","-3.67953"
88,0,"-103.173","-352.516","966.03","-8.56783","7.9975","-3.78136"
89,0,"-103.904","-353.423","963.264","-7.99072","7.7901","-3.8968"
90,0,"-104.442","-354.075","960.473","-7.41119","7.5675","-4.01742"
91,0,"-105.209","-355.21","957.399","-6.77717","7.29698","-4.12542"
92,0,"-106.246","-356.185","954.44","-6.28846","6.67415","-4.15778"
93,0,"-107.195","-357.458","951.175","-5.70946","6.13584","-4.221"
94,0,"-108.227","-358.785","947.794","-5.15636","5.48794","-4.27391"
95,0,"-109.238","-360.235","944.22","-4.54621","4.91886","-4.37042"
96,0,"-110.381","-361.707","940.571","-3.97431","4.2403","-4.46539"
97,0,"-111.602","-363.208","936.779","-3.38436","3.56443","-4.5743"
98,0,"-112.825","-364.844","932.846","-2.70899","3.01411","-4.72132"
99,0,"-113.986","-366.667","928.795","-1.98202","2.50742","-4.87687"
100,0,"-115.19","-368.521","924.792","-1.30483","1.88875","-5.02319"
101,0,"-116.312","-370.51","920.802","-0.598999","1.29558","-5.1745"
102,0,"-117.41","-372.551","916.837","0.0969302","0.654518","-5.31678"
103,0,"-118.621","-374.511","912.951","0.684472","-0.20083","-5.41882"
104,0,"-119.748","-376.483","909.007","1.26601","-1.06276","-5.52292"
105,0,"-120.74","-378.492","904.975","1.85517","-1.8763","-5.63745"
106,0,"-121.613","-380.464","900.896","2.4391","-2.6405","-5.75971"
107,0,"-122.495","-382.344","896.822","2.96858","-3.45038","-5.87134"
108,0,"-123.313","-384.184","892.828","3.44836","-4.27555","-5.97675"
109,0,"-123.994","-386.012","888.922","3.90434","-5.0616","-6.07384"
110,0,"-124.551","-387.8","885.279","4.37879","-5.66738","-6.19822"
111,0,"-124.797","-389.679","881.894","4.88631","-6.09648","-6.32873"
112,0,"-124.864","-391.55","878.917","5.36929","-6.41881","-6.45311"
113,0,"-124.778","-393.352","876.437","5.81779","-6.6486","-6.56831"
114,0,"-124.67","-395.04","874.396","6.1505","-6.9524","-6.65975"
115,0,"-124.355","-396.754","872.732","6.48119","-7.08806","-6.75361"
116,0,"-123.874","-398.451","871.449","6.7892","-7.10398","-6.84388"
117,0,"-123.236","-400.174","870.458","7.10438","-6.95834","-6.9369"
118,0,"-122.564","-401.802","869.683","7.31748","-6.92511","-6.99687"
119,0,"-121.857","-403.361","869.19","7.49925","-6.85771","-7.05816"
120,0,"-121.06","-404.873","868.927","7.68188","-6.71273","-7.12184"
121,0,"-120.337","-406.339","868.885","7.78069","-6.69151","-7.1633"
122,0,"-119.617","-407.766","869.03","7.8538","-6.66647","-7.19924"
123,0,"-118.993","-409.093","869.335","7.84472","-6.7564","-7.20773"
124,0,"-118.481","-410.319","869.805","7.77013","-6.92641","-7.20796"
125,0,"-117.945","-411.484","870.35","7.7125","-7.02377","-7.2061"
126,0,"-117.443","-412.646","870.932","7.65692","-7.10757","-7.20884"
127,0,"-117.015","-413.745","871.577","7.5978","-7.19044","-7.20742"
128,0,"-116.582","-414.833","872.233","7.58346","-7.17545","-7.21814"
129,0,"-116.22","-415.856","872.93","7.55715","-7.16814","-7.22566"
130,0,"-115.972","-416.84","873.627","7.49381","-7.24065","-7.22125"
131,0,"-115.684","-417.789","874.266","7.45503","-7.2575","-7.21333"
132,0,"-115.533","-418.668","874.93","7.36817","-7.36266","-7.19328"
133,0,"-115.404","-419.452","875.628","7.26844","-7.46805","-7.17812"
134,0,"-115.342","-420.186","876.262","7.14142","-7.6215","-7.14722"
135,0,"-115.15","-420.857","876.914","7.0164","-7.73592","-7.17811"
136,0,"-115.11","-421.378","877.622","6.92655","-7.7592","-7.18631"
137,0,"-115.062","-421.847","878.328","6.80266","-7.8142","-7.21231"
138,0,"-115.039","-422.187","879.079","6.69277","-7.81066","-7.2231"
139,0,"-115.002","-422.475","879.83","6.59763","-7.74444","-7.22856"
140,0,"-114.955","-422.661","880.628","6.49779","-7.6558","-7.23544"
141,0,"-114.903","-422.751","881.423","6.36455","-7.61324","-7.22544"
142,0,"-114.859","-422.804","882.217","6.25129","-7.51062","-7.22962"
143,0,"-114.806","-422.821","883.026","6.16096","-7.34365","-7.23937"
144,0,"-114.769","-422.747","883.858","6.07066","-7.14061","-7.26052"
