Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (397)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
155,0,"1353.15","1.7473","443.112"
156,0,"1353.08","1.8256","443.094"
157,0,"1353.01","1.9037","443.107"
158,0,"1352.88","2.07902","443.073"
159,0,"1352.83","2.17005","443.133"
160,0,"1352.77","2.27061","443.157"
161,0,"1352.65","2.3866","443.162"
162,0,"1352.57","2.47846","443.166"
163,0,"1352.46","2.58537","443.141"
164,0,"1352.29","2.73061","443.081"
165,0,"1352.2","2.78306","443.12"
166,0,"1351.99","2.94491","443.092"
167,0,"1351.83","3.038","443.105"
168,0,"1351.65","3.12542","443.115"
169,0,"1351.48","3.2125","443.138"
170,0,"1351.35","3.25435","443.188"
171,0,"1351.16","3.33138","443.191"
172,0,"1351.02","3.37948","443.226"
173,0,"1350.78","3.5083","443.186"
174,0,"1350.58","3.59828","443.17"
175,0,"1350.4","3.63578","443.165"
176,0,"1350.22","3.67617","443.173"
177,0,"1350.04","3.70735","443.173"
178,0,"1349.9","3.72598","443.18"
179,0,"1349.68","3.76444","443.128"
180,0,"1349.47","3.77339","443.106"
181,0,"1349.23","3.79567","443.08"
182,0,"1349.02","3.78738","443.025"
183,0,"1348.78","3.76282","442.977"
184,0,"1348.6","3.66374","443.011"
185,0,"1348.4","3.57985","442.993"
186,0,"1348.19","3.51354","442.948"
187,0,"1348.01","3.4354","442.908"
188,0,"1347.81","3.42981","442.84"
189,0,"1347.61","3.46993","442.762"
190,0,"1347.51","3.50798","442.679"
191,0,"1347.41","3.53539","442.636"
192,0,"1347.36","3.58356","442.56"
193,0,"1347.3","3.63678","442.498"
194,0,"1347.25","3.69681","442.422"
195,0,"1347.1","3.78095","442.272"
196,0,"1346.85","3.82124","442.173"
197,0,"1346.57","3.78263","442.053"
198,0,"1346.21","3.68241","441.92"
199,0,"1345.81","3.53526","441.75"
200,0,"1345.37","3.31016","441.595"
201,0,"1344.87","3.03272","441.497"
202,0,"1344.28","2.66122","441.36"
203,0,"1343.67","2.13546","441.244"
204,0,"1343.02","1.47933","441.15"
205,0,"1342.16","0.660376","440.985"
206,0,"1341.23","-0.38144","440.903"
207,0,"1340.1","-1.66865","440.787"
208,0,"1338.8","-3.25559","440.662"
209,0,"1337.37","-5.1744","440.553"
210,0,"1335.82","-7.56937","440.449"
211,0,"1334.17","-10.4872","440.453"
212,0,"1332.44","-14.0066","440.578"
213,0,"1330.49","-18.159","440.765"
214,0,"1328.27","-22.8827","441.098"
215,0,"1325.78","-28.1838","441.663"
216,0,"1323.09","-33.9787","442.453"
217,0,"1320.05","-40.0004","443.342"
218,0,"1316.77","-46.1735","444.271"
219,0,"1313.41","-52.5281","445.265"
220,0,"1309.71","-58.644","445.982"
221,0,"1306.09","-64.5057","446.411"
222,0,"1301.57","-69.0042","445.462"
223,0,"1297.91","-74.3668","445.61"
224,0,"1294.35","-79.6858","445.959"
225,0,"1290.89","-84.7074","446.632"
226,0,"1287.48","-89.5209","447.735"
227,0,"1284.05","-94.092","449.118"
228,0,"1280.53","-98.3741","450.618"
229,0,"1276.9","-102.368","452.114"
230,0,"1273.04","-106.004","453.533"
231,0,"1268.91","-109.312","454.889"
232,0,"1264.53","-112.217","456.199"
233,0,"1259.91","-114.791","457.519"
234,0,"1255.18","-116.96","458.912"
235,0,"1250.39","-118.703","460.272"
236,0,"1245.6","-120.097","461.68"
237,0,"1240.75","-121.188","462.974"
238,0,"1235.89","-121.919","464.172"
239,0,"1231.02","-122.372","465.219"
240,0,"1226.19","-122.534","466.095"
241,0,"1221.47","-122.466","466.891"
242,0,"1216.87","-122.155","467.583"
243,0,"1212.54","-121.657","468.164"
244,0,"1208.62","-120.974","468.668"
245,0,"1205.28","-119.993","468.996"
246,0,"1202.65","-118.876","469.102"
247,0,"1200.67","-117.578","468.899"
248,0,"1199.4","-116.193","468.321"
249,0,"1198.85","-114.877","467.36"
250,0,"1198.86","-113.994","466.108"
251,0,"1199.02","-113.555","464.61"
252,0,"1199.21","-113.029","463.073"
253,0,"1199.41","-112.18","461.646"
254,0,"1199.69","-111.18","460.58"
255,0,"1199.61","-110.602","460.051"
256,0,"1200.27","-110.233","460.135"
257,0,"1201.7","-110.753","460.528"
258,0,"1203.66","-111.176","460.703"
259,0,"1206.39","-112.882","461.298"
260,0,"1208.67","-114.014","461.474"
261,0,"1210.76","-114.666","461.469"
262,0,"1212.56","-115.787","461.691"
263,0,"1215.43","-115.914","461.196"
264,0,"1215.09","-117.71","462.529"
265,0,"1217.01","-118.168","462.637"
266,0,"1218.95","-118.493","462.652"
267,0,"1222.05","-117.622","461.57"
268,0,"1223.17","-118.379","462.682"
269,0,"1223.07","-119.714","463.775"
270,0,"1224.93","-119.207","463.38"
271,0,"1226.27","-119.265","463.609"
272,0,"1227.86","-119.093","463.636"
273,0,"1228.92","-119.307","463.994"
274,0,"1229.91","-119.46","464.331"
275,0,"1230.85","-119.531","464.695"
276,0,"1231.73","-119.624","465.088"
277,0,"1232.66","-119.614","465.403"
278,0,"1233.61","-119.532","465.663"
279,0,"1234.52","-119.483","465.919"
280,0,"1235.43","-119.368","466.15"
281,0,"1236.34","-119.221","466.356"
282,0,"1237.17","-119.116","466.53"
283,0,"1238.09","-119.064","466.694"
284,0,"1238.95","-119.081","466.855"
285,0,"1239.74","-119.105","466.982"
286,0,"1240.38","-119.21","467.123"
287,0,"1241.03","-119.409","467.267"
288,0,"1241.7","-119.694","467.373"
289,0,"1242.3","-120.101","467.449"
290,0,"1242.96","-120.579","467.492"
291,0,"1243.49","-121.173","467.553"
292,0,"1243.93","-121.791","467.636"
293,0,"1244.38","-122.46","467.776"
294,0,"1244.81","-123.063","467.894"
295,0,"1245.18","-123.743","468.022"
296,0,"1245.51","-124.396","468.13"
297,0,"1245.79","-125.002","468.242"
298,0,"1246","-125.668","468.376"
299,0,"1246.18","-126.25","468.526"
300,0,"1246.35","-126.832","468.706"
301,0,"1246.56","-127.413","468.864"
302,0,"1246.82","-127.905","468.964"
303,0,"1247.03","-128.26","469.037"
304,0,"1247.14","-128.431","469.071"
305,0,"1247.16","-128.444","469.108"
306,0,"1247.11","-128.347","469.142"
307,0,"1247.06","-128.152","469.15"
308,0,"1247","-127.916","469.159"
309,0,"1246.97","-127.617","469.213"
310,0,"1247","-127.298","469.275"
311,0,"1247.05","-127.012","469.348"
312,0,"1247.22","-126.728","469.424"
313,0,"1247.5","-126.464","469.45"
314,0,"1247.87","-126.24","469.483"
