Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (404)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
175,0,"968.015","141.576","943.013"
176,0,"967.547","141.609","942.853"
177,0,"966.965","141.645","942.645"
178,0,"966.455","141.722","942.467"
179,0,"965.954","141.788","942.262"
180,0,"965.47","141.819","942.019"
181,0,"965.009","141.853","941.774"
182,0,"964.528","141.904","941.51"
183,0,"964.03","141.956","941.249"
184,0,"963.604","142.004","940.989"
185,0,"963.184","142.035","940.726"
186,0,"962.8","142.057","940.462"
187,0,"962.386","142.126","940.211"
188,0,"961.986","142.178","939.933"
189,0,"961.582","142.252","939.669"
190,0,"961.159","142.316","939.408"
191,0,"960.731","142.363","939.165"
192,0,"960.293","142.411","938.923"
193,0,"959.694","142.503","938.632"
194,0,"959.081","142.574","938.365"
195,0,"958.4","142.62","938.071"
196,0,"957.675","142.595","937.763"
197,0,"956.786","142.586","937.391"
198,0,"955.817","142.487","937.064"
199,0,"954.729","142.315","936.695"
200,0,"953.451","142.057","936.254"
201,0,"952.037","141.718","935.799"
202,0,"950.51","141.282","935.329"
203,0,"948.894","140.693","934.811"
204,0,"947.141","139.941","934.216"
205,0,"945.348","139.018","933.595"
206,0,"943.495","137.959","932.939"
207,0,"941.535","136.778","932.315"
208,0,"939.53","135.398","931.643"
209,0,"937.424","133.904","931.023"
210,0,"935.272","132.251","930.427"
211,0,"933.095","130.497","929.896"
212,0,"930.967","128.601","929.392"
213,0,"928.82","126.614","928.94"
214,0,"926.747","124.57","928.565"
215,0,"924.756","122.527","928.238"
216,0,"922.826","120.472","927.992"
217,0,"920.886","118.532","927.817"
218,0,"918.996","116.581","927.704"
219,0,"917.016","114.731","927.695"
220,0,"915.002","112.936","927.782"
221,0,"912.901","111.312","927.971"
222,0,"910.861","109.835","928.255"
223,0,"909.032","108.533","928.593"
224,0,"907.373","107.341","929.031"
225,0,"905.9","106.334","929.543"
226,0,"904.657","105.541","930.135"
227,0,"903.643","104.926","930.837"
228,0,"902.768","104.55","931.684"
229,0,"902.03","104.386","932.645"
230,0,"901.507","104.433","933.719"
231,0,"901.21","104.697","934.866"
232,0,"901.124","105.233","936.135"
233,0,"901.191","105.974","937.473"
234,0,"901.39","107.042","938.901"
235,0,"901.728","108.313","940.356"
236,0,"902.261","109.761","941.83"
237,0,"902.957","111.481","943.359"
238,0,"903.822","113.368","944.895"
239,0,"904.851","115.503","946.443"
240,0,"906.201","117.8","947.991"
241,0,"907.653","120.376","949.564"
242,0,"909.437","123.032","951.11"
243,0,"911.396","125.924","952.658"
244,0,"913.541","128.852","954.198"
245,0,"915.876","131.983","955.74"
246,0,"918.458","135.17","957.313"
247,0,"921.34","138.42","958.888"
248,0,"924.337","141.815","960.479"
249,0,"927.563","145.156","962.165"
250,0,"931.12","148.479","963.898"
251,0,"934.813","151.804","965.706"
252,0,"938.745","154.998","967.563"
253,0,"942.826","158.186","969.583"
254,0,"947.063","161.237","971.751"
255,0,"951.722","164.147","974.105"
256,0,"956.522","166.91","976.579"
257,0,"961.699","169.511","979.227"
258,0,"967.088","172.065","982.094"
259,0,"972.856","174.338","985.097"
260,0,"978.761","176.608","988.349"
261,0,"984.877","178.757","991.726"
262,0,"991.011","180.785","995.239"
263,0,"996.888","183.336","999.351"
264,0,"1003.05","184.518","1002.77"
265,0,"1009.01","186.131","1006.59"
266,0,"1014.61","187.888","1010.71"
267,0,"1020.18","189.363","1014.88"
268,0,"1025.67","190.764","1019.2"
269,0,"1031.06","192.088","1023.65"
270,0,"1036.17","193.413","1028.29"
271,0,"1041.16","194.542","1033.02"
272,0,"1046.02","195.534","1037.87"
273,0,"1050.75","196.318","1042.83"
274,0,"1055.29","196.924","1047.88"
275,0,"1059.63","197.271","1052.93"
276,0,"1063.79","197.437","1058"
277,0,"1067.77","197.34","1063.07"
278,0,"1071.52","197.045","1068.1"
279,0,"1075.07","196.531","1073.11"
280,0,"1078.42","195.82","1078.04"
281,0,"1081.65","194.88","1082.87"
282,0,"1084.78","193.803","1087.59"
283,0,"1087.7","192.676","1092.22"
284,0,"1090.68","191.204","1096.5"
285,0,"1093.64","189.624","1100.63"
286,0,"1096.48","187.957","1104.54"
287,0,"1099.21","186.252","1108.22"
288,0,"1101.85","184.488","1111.67"
289,0,"1104.37","182.699","1114.89"
290,0,"1106.77","180.9","1117.83"
291,0,"1109.06","179.141","1120.52"
292,0,"1111.32","177.437","1122.95"
293,0,"1113.49","175.815","1125.06"
294,0,"1115.54","174.256","1126.91"
295,0,"1117.45","172.783","1128.56"
296,0,"1119.12","171.392","1129.96"
297,0,"1120.62","170.085","1131.12"
298,0,"1121.97","168.868","1132.07"
299,0,"1123.21","167.728","1132.77"
300,0,"1124.45","166.676","1133.24"
301,0,"1125.66","165.7","1133.48"
302,0,"1126.8","164.798","1133.46"
303,0,"1127.85","163.975","1133.28"
304,0,"1128.77","163.22","1132.93"
305,0,"1129.55","162.559","1132.36"
306,0,"1130.22","161.99","1131.58"
307,0,"1130.77","161.515","1130.56"
308,0,"1131.23","161.064","1129.27"
309,0,"1131.66","160.648","1127.68"
310,0,"1131.97","160.296","1125.8"
311,0,"1132.17","159.962","1123.66"
312,0,"1132.23","159.688","1121.27"
313,0,"1132.22","159.443","1118.62"
314,0,"1132.11","159.252","1115.73"
315,0,"1131.84","159.167","1112.69"
316,0,"1131.38","159.186","1109.53"
317,0,"1130.77","159.311","1106.29"
318,0,"1130","159.581","1103"
319,0,"1129.03","160.026","1099.65"
320,0,"1127.81","160.677","1096.27"
321,0,"1126.38","161.524","1092.9"
322,0,"1124.7","162.629","1089.55"
323,0,"1122.86","164.001","1086.26"
324,0,"1120.79","165.654","1083.01"
325,0,"1118.55","167.611","1079.84"
326,0,"1116.22","169.862","1076.75"
327,0,"1113.79","172.427","1073.71"
328,0,"1111.32","175.263","1070.75"
329,0,"1108.83","178.368","1067.85"
330,0,"1106.26","181.728","1065.12"
331,0,"1103.49","185.275","1062.55"
332,0,"1100.53","188.923","1060.17"
333,0,"1097.35","192.652","1057.91"
334,0,"1094.17","196.319","1055.76"
335,0,"1091.13","199.975","1053.68"
336,0,"1088.29","203.655","1051.67"
337,0,"1085.66","207.172","1049.6"
338,0,"1083.19","210.742","1047.7"
339,0,"1080.87","214.349","1046.04"
340,0,"1078.75","218.047","1044.64"
341,0,"1076.9","221.859","1043.47"
342,0,"1075.26","225.936","1042.58"
343,0,"1073.93","230.301","1042.01"
344,0,"1072.95","234.849","1041.69"
345,0,"1072.27","239.654","1041.58"
346,0,"1071.89","244.733","1041.73"
347,0,"1071.91","250.132","1042.13"
348,0,"1072.38","255.808","1042.7"
