Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (444)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
165,0,"1399.01","122.401","970.673"
166,0,"1398.64","122.426","970.797"
167,0,"1398.27","122.442","970.929"
168,0,"1397.93","122.44","971.052"
169,0,"1397.57","122.419","971.223"
170,0,"1397.17","122.421","971.369"
171,0,"1396.73","122.399","971.511"
172,0,"1396.35","122.404","971.65"
173,0,"1395.97","122.386","971.821"
174,0,"1395.56","122.325","971.938"
175,0,"1395.17","122.312","972.08"
176,0,"1394.77","122.298","972.221"
177,0,"1394.38","122.244","972.341"
178,0,"1394","122.203","972.46"
179,0,"1393.67","122.131","972.603"
180,0,"1393.33","122.061","972.752"
181,0,"1393.01","122","972.904"
182,0,"1392.69","121.904","973.054"
183,0,"1392.38","121.826","973.229"
184,0,"1392.09","121.697","973.39"
185,0,"1391.76","121.561","973.547"
186,0,"1391.45","121.42","973.708"
187,0,"1391.18","121.238","973.864"
188,0,"1390.88","121.033","974.021"
189,0,"1390.57","120.761","974.189"
190,0,"1390.3","120.406","974.353"
191,0,"1390","119.98","974.549"
192,0,"1389.69","119.49","974.756"
193,0,"1389.39","118.876","975.004"
194,0,"1389.09","118.178","975.238"
195,0,"1388.77","117.311","975.548"
196,0,"1388.52","116.272","975.811"
197,0,"1388.26","115.062","976.113"
198,0,"1388.12","113.648","976.336"
199,0,"1387.94","111.953","976.591"
200,0,"1387.92","110.015","976.791"
201,0,"1387.98","107.731","976.986"
202,0,"1388.1","105.101","977.22"
203,0,"1388.35","102.16","977.408"
204,0,"1388.69","98.8395","977.631"
205,0,"1389.17","95.1226","977.88"
206,0,"1389.78","91","978.186"
207,0,"1390.48","86.4958","978.518"
208,0,"1391.19","81.6012","978.9"
209,0,"1391.92","76.3212","979.363"
210,0,"1392.68","70.6845","979.871"
211,0,"1393.36","64.7323","980.501"
212,0,"1394.01","58.4665","981.219"
213,0,"1394.63","51.8976","982.075"
214,0,"1395.18","45.0862","982.992"
215,0,"1395.33","38.3365","983.676"
216,0,"1395.63","31.3028","984.77"
217,0,"1395.89","24.0206","985.874"
218,0,"1396.01","16.6237","986.997"
219,0,"1396.04","9.12433","988.134"
220,0,"1396.06","1.56632","989.282"
221,0,"1396.02","-6.03585","990.426"
222,0,"1395.91","-13.564","991.501"
223,0,"1395.87","-21.1574","992.617"
224,0,"1395.73","-28.5241","993.583"
225,0,"1395.65","-35.8786","994.505"
226,0,"1395.53","-43.0129","995.349"
227,0,"1395.58","-50.0314","996.349"
228,0,"1395.87","-56.5768","997.83"
229,0,"1395.47","-63.3419","997.875"
230,0,"1395.19","-69.7191","998.129"
231,0,"1395.23","-76.0776","998.435"
232,0,"1395.28","-82.3253","998.629"
233,0,"1395.3","-88.2258","998.685"
234,0,"1395.27","-93.5591","998.831"
235,0,"1395.18","-99.0956","998.459"
236,0,"1395","-104.449","997.879"
237,0,"1394.75","-109.597","997.035"
238,0,"1394.43","-114.59","995.954"
239,0,"1394.06","-119.482","994.649"
240,0,"1393.64","-124.267","993.127"
241,0,"1393.15","-128.973","991.355"
242,0,"1392.63","-133.607","989.388"
243,0,"1392.05","-138.186","987.186"
244,0,"1391.41","-142.692","984.747"
245,0,"1390.72","-147.2","982.082"
246,0,"1390","-151.706","979.287"
247,0,"1389.26","-156.217","976.276"
248,0,"1388.55","-160.227","972.626"
249,0,"1387.83","-164.907","969.364"
250,0,"1386.9","-169.615","965.85"
251,0,"1385.92","-174.309","962.217"
252,0,"1384.91","-179","958.415"
253,0,"1383.79","-183.513","954.509"
254,0,"1381.32","-184.772","948.095"
255,0,"1382.02","-192.565","946.627"
256,0,"1381.31","-197.154","942.962"
257,0,"1379.96","-201.458","938.792"
258,0,"1379.33","-205.61","935.037"
259,0,"1378.87","-209.691","931.499"
260,0,"1378.58","-213.678","928.119"
261,0,"1378.5","-217.565","924.921"
262,0,"1378.66","-221.302","921.911"
263,0,"1379.02","-224.774","919.023"
264,0,"1379.59","-227.837","916.179"
265,0,"1380.36","-230.408","913.339"
266,0,"1381.64","-232.857","910.671"
267,0,"1382.83","-234.255","907.933"
268,0,"1384.21","-235.27","905.283"
269,0,"1385.81","-235.961","902.735"
270,0,"1387.58","-236.325","900.346"
271,0,"1389.56","-236.321","898.087"
272,0,"1391.69","-235.948","895.937"
273,0,"1393.96","-235.218","893.923"
274,0,"1396.33","-234.189","892.067"
275,0,"1398.8","-232.895","890.336"
276,0,"1401.32","-231.433","888.724"
277,0,"1403.92","-229.827","887.233"
278,0,"1406.52","-228.519","885.643"
279,0,"1408.96","-226.975","884.002"
280,0,"1411.46","-224.591","883.095"
281,0,"1414","-222.851","882.031"
282,0,"1416.47","-221.143","881.077"
283,0,"1418.84","-219.446","880.25"
284,0,"1421.08","-217.775","879.495"
285,0,"1423.17","-216.111","878.811"
286,0,"1425.14","-214.492","878.174"
287,0,"1426.93","-212.88","877.562"
288,0,"1428.59","-211.262","876.965"
289,0,"1430.06","-209.676","876.38"
290,0,"1431.38","-208.127","875.818"
291,0,"1432.54","-206.553","875.27"
292,0,"1433.54","-205.027","874.715"
293,0,"1434.41","-203.592","874.179"
294,0,"1435.15","-202.256","873.635"
295,0,"1435.73","-201.008","873.093"
296,0,"1436.18","-199.829","872.562"
297,0,"1436.52","-198.705","872.005"
298,0,"1436.74","-197.682","871.46"
299,0,"1436.82","-196.67","870.869"
300,0,"1436.8","-195.737","870.298"
301,0,"1436.6","-194.81","869.692"
302,0,"1436.31","-193.983","869.059"
303,0,"1435.92","-193.284","868.428"
304,0,"1435.44","-192.701","867.769"
305,0,"1434.86","-192.195","867.098"
306,0,"1434.18","-191.725","866.383"
307,0,"1433.42","-191.272","865.647"
308,0,"1432.58","-190.881","864.847"
309,0,"1431.64","-190.593","863.969"
310,0,"1430.63","-190.429","863.045"
311,0,"1429.48","-190.376","862.042"
312,0,"1428.15","-190.429","860.97"
313,0,"1426.65","-190.51","859.817"
314,0,"1424.94","-190.691","858.591"
315,0,"1423.05","-190.976","857.3"
316,0,"1420.97","-191.4","855.973"
317,0,"1418.66","-191.986","854.64"
318,0,"1416.13","-192.782","853.284"
319,0,"1413.35","-193.758","851.943"
320,0,"1410.33","-194.956","850.61"
321,0,"1407.1","-196.353","849.26"
322,0,"1403.63","-198.015","847.926"
323,0,"1399.97","-199.959","846.641"
324,0,"1396.13","-202.161","845.429"
325,0,"1392.08","-204.675","844.328"
326,0,"1387.9","-207.488","843.385"
327,0,"1383.57","-210.637","842.61"
328,0,"1379.13","-214.151","842.03"
329,0,"1374.61","-217.711","841.682"
330,0,"1369.87","-222.126","841.536"
331,0,"1365.05","-226.366","841.512"
332,0,"1360.49","-231.308","842.019"
333,0,"1355.86","-236.891","842.294"
334,0,"1351.55","-243.134","844.031"
335,0,"1346.67","-249.218","845.987"
336,0,"1341.02","-254.901","848.063"
337,0,"1335.45","-260.648","850.226"
338,0,"1330.53","-267.428","853.386"
339,0,"1325.47","-274.51","857.431"
340,0,"1319.95","-281.438","861.977"
341,0,"1314.32","-288.359","867.102"
342,0,"1308.91","-295.488","872.982"
343,0,"1303.63","-302.768","879.63"
344,0,"1297.89","-309.414","886.433"
345,0,"1289.95","-312.136","891.95"
346,0,"1287.09","-322.357","902.374"
347,0,"1282.1","-329.347","912.135"
348,0,"1277.37","-338.637","923.873"
349,0,"1272.51","-345.087","934.987"
350,0,"1268.78","-351.42","947.866"
351,0,"nan","nan","nan"
